Transaction Type,Payee/Customer/Vendor Name,Amount,Transaction Description,Posting Date,Transaction ID,Fund1,Dept1,Div1,Dept_Name,Year,Fund_Name
RV,NOT APPLICABLE,"$6,080.10",FRANCHISE TAX-REFUSE - 418.1500,20170630,2017-00009772 - 4982375,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$6,080.10",FRANCHISE TAX-REFUSE - 418.1500,20170719,2018-00000396 - 4974570,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$5,449.72",FRANCHISE TAX-REFUSE - 418.1500,20170731,2018-00002147 - 5030294,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$5,449.72",FRANCHISE TAX-REFUSE - 418.1500,20170824,2018-00001450 - 5009238,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$6,281.97",FRANCHISE TAX-REFUSE - 418.1500,20170831,2018-00005159 - 5118785,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$6,281.97",FRANCHISE TAX-REFUSE - 418.1500,20170922,2018-00002241 - 5032445,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$5,830.66",FRANCHISE TAX-REFUSE - 418.1500,20170930,2018-00005159 - 5118789,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$5,830.66",FRANCHISE TAX-REFUSE - 418.1500,20171018,2018-00002899 - 5052294,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$17,899.74",FRANCHISE TAX-REFUSE - 418.1500,20171020,2018-00002970 - 5054200,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$5,954.60",FRANCHISE TAX-REFUSE - 418.1500,20171120,2018-00003769 - 5079209,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$6,050.77",FRANCHISE TAX-REFUSE - 418.1500,20171222,2018-00004886 - 5108427,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$5,887.46",FRANCHISE TAX-REFUSE - 418.1500,20180122,2018-00005596 - 5131309,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2018,GENERAL 
RV,NOT APPLICABLE,"$6,986.01",FRANCHISE TAX-REFUSE - 418.1500,20180223,2018-00006583 - 5156017,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2018,GENERAL 
RV,NOT APPLICABLE,"$6,418.08",FRANCHISE TAX-REFUSE - 418.1500,20180316,2018-00007182 - 5173673,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2018,GENERAL 
RV,NOT APPLICABLE,"$10,749.52",INCOME FROM INVESTMENTS - 461.1000,20170430,2017-00009423 - 4960778,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$5,044.37",INCOME FROM INVESTMENTS - 461.1000,20170510,2017-00007944 - 4910327,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$11,966.76",INCOME FROM INVESTMENTS - 461.1000,20170516,2017-00008101 - 4914353,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$12,392.74",INCOME FROM INVESTMENTS - 461.1000,20170531,2017-00009744 - 4980186,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$7,215.83",INCOME FROM INVESTMENTS - 461.1000,20170630,2017-00009904 - 5014141,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$5,329.28",INCOME FROM INVESTMENTS - 461.1000,20170630,2017-00009959 - 5031634,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$14,485.05",INCOME FROM INVESTMENTS - 461.1000,20170630,2017-00009962 - 5031845,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$23,376.63",INCOME FROM INVESTMENTS - 461.1000,20170630,2017-00009999 - 5036882,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$18,953.71",INCOME FROM INVESTMENTS - 461.1000,20170731,2018-00005401 - 5126824,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$24,516.14",INCOME FROM INVESTMENTS - 461.1000,20170831,2018-00005412 - 5127015,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$22,034.20",INCOME FROM INVESTMENTS - 461.1000,20170929,2018-00005426 - 5127772,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$25,380.20",INCOME FROM INVESTMENTS - 461.1000,20171031,2018-00005874 - 5137190,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$7,896.97",INCOME FROM INVESTMENTS - 461.1000,20171130,2018-00007323 - 5179114,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$8,824.43",INCOME FROM INVESTMENTS - 461.1000,20171231,2018-00007360 - 5179648,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$12,134.84",INCOME FROM INVESTMENTS - 461.1000,20180131,2018-00007407 - 5181037,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2018,GENERAL 
RV,NOT APPLICABLE,"$13,427.61",INCOME FROM INVESTMENTS - 461.1000,20180228,2018-00008121 - 5198938,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2018,GENERAL 
RV,NOT APPLICABLE,"$14,418.54",FIRE DISTRICT DISPATCHING - 438.1300,20170430,2017-00007628 - 4903040,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$14,418.54",FIRE DISTRICT DISPATCHING - 438.1300,20170531,2017-00008462 - 4923089,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$14,418.54",FIRE DISTRICT DISPATCHING - 438.1300,20170630,2017-00009369 - 4959648,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$27,931.25",FIRE DISTRICT DISPATCHING - 438.1300,20170731,2018-00000735 - 4983735,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$27,931.25",FIRE DISTRICT DISPATCHING - 438.1300,20170831,2018-00001753 - 5017386,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$27,931.25",FIRE DISTRICT DISPATCHING - 438.1300,20170930,2018-00002576 - 5042056,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$27,931.25",FIRE DISTRICT DISPATCHING - 438.1300,20171031,2018-00003102 - 5058293,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$27,931.25",FIRE DISTRICT DISPATCHING - 438.1300,20171130,2018-00003944 - 5085136,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$27,931.25",FIRE DISTRICT DISPATCHING - 438.1300,20171231,2018-00004930 - 5109588,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$27,931.25",FIRE DISTRICT DISPATCHING - 438.1300,20180131,2018-00005808 - 5135255,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2018,GENERAL 
RV,NOT APPLICABLE,"$27,931.25",FIRE DISTRICT DISPATCHING - 438.1300,20180228,2018-00006647 - 5157496,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2018,GENERAL 
RV,NOT APPLICABLE,"$27,931.25",FIRE DISTRICT DISPATCHING - 438.1300,20180330,2018-00007583 - 5185083,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2018,GENERAL 
RV,NOT APPLICABLE,"$7,582.67",SPECIAL POLICE SERVICES - 442.1000,20170430,2017-00007626 - 4903036,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$12,911.70",SPECIAL POLICE SERVICES - 442.1000,20170430,2017-00007710 - 4904630,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$5,766.82",SPECIAL POLICE SERVICES - 442.1000,20170430,2017-00008057 - 4913497,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$45,361.85",SPECIAL POLICE SERVICES - 442.1000,20170430,2017-00008645 - 4930261,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$7,058.35",SPECIAL POLICE SERVICES - 442.1000,20170531,2017-00008259 - 4917751,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$12,560.48",SPECIAL POLICE SERVICES - 442.1000,20170531,2017-00008581 - 4925330,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$6,851.05",SPECIAL POLICE SERVICES - 442.1000,20170531,2017-00008713 - 4931981,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$8,373.66",SPECIAL POLICE SERVICES - 442.1000,20170630,2017-00009360 - 4959622,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$12,777.90",SPECIAL POLICE SERVICES - 442.1000,20170630,2017-00009461 - 4966792,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$9,274.62",SPECIAL POLICE SERVICES - 442.1000,20170630,2017-00009788 - 4987423,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$8,241.36",SPECIAL POLICE SERVICES - 442.1000,20170630,2017-00009789 - 4987435,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$6,914.83",SPECIAL POLICE SERVICES - 442.1000,20170630,2017-00009993 - 5036790,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$12,443.40",SPECIAL POLICE SERVICES - 442.1000,20170731,2018-00000931 - 4989329,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$10,957.08",SPECIAL POLICE SERVICES - 442.1000,20170731,2018-00001436 - 5008820,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$7,447.85",SPECIAL POLICE SERVICES - 442.1000,20170731,2018-00002407 - 5036828,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$17,230.39",SPECIAL POLICE SERVICES - 442.1000,20170731,2018-00006135 - 5144545,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$12,577.20",SPECIAL POLICE SERVICES - 442.1000,20170831,2018-00001744 - 5017323,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$16,958.90",SPECIAL POLICE SERVICES - 442.1000,20170831,2018-00003535 - 5072978,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$11,654.00",SPECIAL POLICE SERVICES - 442.1000,20170831,2018-00006517 - 5154336,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$11,567.01",SPECIAL POLICE SERVICES - 442.1000,20170930,2018-00002561 - 5041761,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$45,361.85",SPECIAL POLICE SERVICES - 442.1000,20170930,2018-00002659 - 5044208,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$16,369.53",SPECIAL POLICE SERVICES - 442.1000,20170930,2018-00003535 - 5072979,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$12,788.25",SPECIAL POLICE SERVICES - 442.1000,20170930,2018-00006517 - 5154337,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$14,366.78",SPECIAL POLICE SERVICES - 442.1000,20171031,2018-00003222 - 5060461,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$17,080.22",SPECIAL POLICE SERVICES - 442.1000,20171031,2018-00004820 - 5106462,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$8,112.55",SPECIAL POLICE SERVICES - 442.1000,20171031,2018-00006517 - 5154338,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$14,500.58",SPECIAL POLICE SERVICES - 442.1000,20171130,2018-00004127 - 5090886,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$13,531.90",SPECIAL POLICE SERVICES - 442.1000,20171130,2018-00006517 - 5154339,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$17,130.00",SPECIAL POLICE SERVICES - 442.1000,20171130,2018-00007157 - 5172738,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$9,650.33",SPECIAL POLICE SERVICES - 442.1000,20171231,2018-00004997 - 5112378,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$11,959.73",SPECIAL POLICE SERVICES - 442.1000,20171231,2018-00006517 - 5154340,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$12,646.77",SPECIAL POLICE SERVICES - 442.1000,20171231,2018-00007157 - 5172739,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$13,664.33",SPECIAL POLICE SERVICES - 442.1000,20180131,2018-00005949 - 5139932,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2018,GENERAL 
RV,NOT APPLICABLE,"$12,187.88",SPECIAL POLICE SERVICES - 442.1000,20180131,2018-00006517 - 5154341,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2018,GENERAL 
RV,NOT APPLICABLE,"$12,738.70",SPECIAL POLICE SERVICES - 442.1000,20180131,2018-00007157 - 5172740,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2018,GENERAL 
RV,NOT APPLICABLE,"$12,125.63",SPECIAL POLICE SERVICES - 442.1000,20180228,2018-00006734 - 5159429,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2018,GENERAL 
RV,NOT APPLICABLE,"$12,907.00",SPECIAL POLICE SERVICES - 442.1000,20180228,2018-00007636 - 5186481,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2018,GENERAL 
RV,NOT APPLICABLE,"$19,369.32",SPECIAL POLICE SERVICES - 442.1000,20180228,2018-00007827 - 5190598,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2018,GENERAL 
RV,NOT APPLICABLE,"$11,138.85",SPECIAL POLICE SERVICES - 442.1000,20180331,2018-00007599 - 5185903,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2018,GENERAL 
RV,NOT APPLICABLE,"$14,066.67",BUILDING-PLAN REVIEWS - 422.1100,20170430,2017-00007720 - 4905118,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$19,562.74",BUILDING-PLAN REVIEWS - 422.1100,20170531,2018-00000366 - 4973633,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$16,740.23",BUILDING-PLAN REVIEWS - 422.1100,20170630,2018-00000365 - 4973626,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$28,570.19",BUILDING-PLAN REVIEWS - 422.1100,20170728,2018-00000682 - 4982397,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$14,861.20",BUILDING-PLAN REVIEWS - 422.1100,20170731,2018-00001811 - 5020690,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$25,759.95",BUILDING-PLAN REVIEWS - 422.1100,20170831,2018-00002133 - 5030219,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$10,803.97",BUILDING-PLAN REVIEWS - 422.1100,20170930,2018-00005434 - 5127959,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$18,263.76",BUILDING-PLAN REVIEWS - 422.1100,20171031,2018-00005435 - 5127967,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$16,924.11",BUILDING-PLAN REVIEWS - 422.1100,20171130,2018-00005436 - 5127974,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$27,081.54",BUILDING-PLAN REVIEWS - 422.1100,20171231,2018-00005437 - 5127983,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$15,683.19",BUILDING-PLAN REVIEWS - 422.1100,20180131,2018-00007629 - 5186459,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2018,GENERAL 
RV,NOT APPLICABLE,"$15,258.63",BUILDING-PLAN REVIEWS - 422.1100,20180228,2018-00007162 - 5172828,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2018,GENERAL 
RV,NOT APPLICABLE,"$40,993.64",BUILDING-PLAN REVIEWS - 422.1100,20180313,2018-00007065 - 5169834,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2018,GENERAL 
RV,NOT APPLICABLE,"$15,756.42",BUILDING-PLAN REVIEWS - 422.1100,20180331,2018-00007630 - 5186467,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2018,GENERAL 
RV,NOT APPLICABLE,"$92,690.25",FRANCHISE TAX-CABLE TV - 418.1200,20170502,2017-00007669 - 4904103,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$89,730.93",FRANCHISE TAX-CABLE TV - 418.1200,20170630,2017-00009955 - 5030334,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$89,730.93",FRANCHISE TAX-CABLE TV - 418.1200,20170724,2018-00000538 - 4978847,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$87,010.48",FRANCHISE TAX-CABLE TV - 418.1200,20170930,2018-00005159 - 5118655,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$87,010.48",FRANCHISE TAX-CABLE TV - 418.1200,20171031,2018-00003213 - 5060354,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$89,063.69",FRANCHISE TAX-CABLE TV - 418.1200,20171229,2018-00005920 - 5139405,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$89,063.69",FRANCHISE TAX-CABLE TV - 418.1200,20180130,2018-00005880 - 5137889,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2018,GENERAL 
RV,NOT APPLICABLE,"$5,102.31",ABATEMENT BLDG CODE - 441.4100,20170508,2017-00007907 - 4909191,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$46,584.00",ABATEMENT BLDG CODE - 441.4100,20170510,2017-00007944 - 4910329,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$236,852.80",ABATEMENT BLDG CODE - 441.4100,20170516,2017-00008101 - 4914354,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$65,431.67",ABATEMENT BLDG CODE - 441.4100,20170517,2017-00008161 - 4915827,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$319,728.30",ABATEMENT BLDG CODE - 441.4100,20170630,2017-00009999 - 5036880,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$16,500.00",ABATEMENT BLDG CODE - 441.4100,20170831,2018-00001251 - 5004883,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$6,100.00",ABATEMENT BLDG CODE - 441.4100,20170930,2018-00002463 - 5038207,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$6,100.00",ABATEMENT BLDG CODE - 441.4100,20171130,2018-00003645 - 5075808,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$5,749.00",ABATEMENT BLDG CODE - 441.4100,20180131,2018-00005662 - 5132364,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2018,GENERAL 
RV,NOT APPLICABLE,"$14,211.00",ABATEMENT BLDG CODE - 441.4100,20180228,2018-00006468 - 5153391,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2018,GENERAL 
RV,NOT APPLICABLE,"$7,630.00",ABATEMENT BLDG CODE - 441.4100,20180331,2018-00007097 - 5170968,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2018,GENERAL 
RV,NOT APPLICABLE,"$23,900.00",ABATEMENT BLDG CODE - 441.4100,20180331,2018-00007490 - 5182433,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2018,GENERAL 
RV,NOT APPLICABLE,"$12,639.08",ABATEMENT ADMINISTRATION - 475.1000,20170516,2017-00008101 - 4914355,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$51,951.72",ABATEMENT ADMINISTRATION - 475.1000,20170630,2017-00009999 - 5036881,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$7,500.00",ANIMAL SPAY/NEUTER - 475.2000,20170630,2017-00009428 - 4961105,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$8,635.38",FRANCHISE TAX-WATER - 418.1400,20170630,2017-00009955 - 5030338,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$81,178.41",FRANCHISE TAX-WATER - 418.1400,20170630,2017-00009955 - 5030340,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$81,178.41",FRANCHISE TAX-WATER - 418.1400,20170724,2018-00000538 - 4978849,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$8,635.38",FRANCHISE TAX-WATER - 418.1400,20170725,2018-00000582 - 4979756,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$93,671.76",FRANCHISE TAX-WATER - 418.1400,20171229,2018-00005920 - 5139413,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$93,671.76",FRANCHISE TAX-WATER - 418.1400,20180123,2018-00005639 - 5132073,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2018,GENERAL 
RV,NOT APPLICABLE,"$10,621.50",FRANCHISE TAX-WATER - 418.1400,20180131,2018-00005936 - 5139687,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2018,GENERAL 
RV,NOT APPLICABLE,"$71,550.39",ABATEMENT NUISANCE FEES - 441.4000,20170630,2017-00009999 - 5036879,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$5,540.00",ABATEMENT NUISANCE FEES - 441.4000,20170930,2018-00002463 - 5038206,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$5,397.00",ABATEMENT NUISANCE FEES - 441.4000,20171130,2018-00003464 - 5067729,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$8,260.00",ABATEMENT NUISANCE FEES - 441.4000,20171213,2018-00004499 - 5100342,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$5,475.00",ABATEMENT NUISANCE FEES - 441.4000,20171226,2018-00004913 - 5108801,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$5,910.00",ABATEMENT NUISANCE FEES - 441.4000,20180131,2018-00005312 - 5124186,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2018,GENERAL 
RV,NOT APPLICABLE,"$5,253.71",INCOME INTERFUND LOAN - 461.2000,20170630,2017-00010035 - 5039761,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$5,055.03",BUILDING PERMITS - 422.1000,20170728,2018-00000682 - 4982393,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$43,954.14",BUILDING PERMITS - 422.1000,20170728,2018-00000682 - 4982394,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$63,067.14",BUILDING PERMITS - 422.1000,20180313,2018-00007065 - 5169830,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2018,GENERAL 
RV,NOT APPLICABLE,"$84,650.00",GENERAL BUSINESS LICENSE - 421.4000,20170731,2018-00002411 - 5036947,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
RV,NOT APPLICABLE,"$30,697.15",BED TAX - 416.1000,20170831,2018-00005692 - 5133021,101 - GENERAL ,000 - GENERAL,0000 - GENERAL,General,2017,GENERAL 
