Transaction Type,Payee/Customer/Vendor Name,Amount,Object,Transaction Description,Posting Date,Transaction ID,Fund,Dept,Div,Fund1,Dept1,Div1,Record Number,Fiscal Year
PY,NOT APPLICABLE,"$5,275.17 ",1105,REGULAR FULL-TIME WAGES - 1105,20130622,2013-00008735 - 3850221,101,619,2050,101 - GENERAL ,619 - GEN GOVT,2050 - TECH SERVICES,2308,2013
PY,NOT APPLICABLE,"$8,390.80 ",1105,REGULAR FULL-TIME WAGES - 1105,20130622,2013-00008735 - 3850231,101,619,3020,101 - GENERAL ,619 - GEN GOVT,3020 - BUILDING SAFETY,2309,2013
PY,NOT APPLICABLE,"$6,054.68 ",1105,REGULAR FULL-TIME WAGES - 1105,20130622,2013-00008735 - 3850236,101,619,3030,101 - GENERAL ,619 - GEN GOVT,3030 - CODE ENFORCEMENT,2310,2013
PY,NOT APPLICABLE,"$6,229.40 ",1105,REGULAR FULL-TIME WAGES - 1105,20130622,2013-00008735 - 3850241,101,619,3570,101 - GENERAL ,619 - GEN GOVT,3570 - FACILITIES MANAGEMENT,2311,2013
PY,NOT APPLICABLE,"$16,928.51 ",1105,REGULAR FULL-TIME WAGES - 1105,20130622,2013-00008735 - 3850268,101,621,5000,101 - GENERAL ,621 - PUBLIC SAFETY,5000 - ADMINISTRATION,2312,2013
PY,NOT APPLICABLE,"$24,325.93 ",1510,HEALTH INSURANCE - 1510,20130622,2013-00008735 - 3850293,101,621,5010,101 - GENERAL ,621 - PUBLIC SAFETY,5010 - PATROL,2313,2013
PY,NOT APPLICABLE,"$7,050.96 ",1140,OVERTIME WAGES - 1140,20130622,2013-00008735 - 3850273,101,621,5010,101 - GENERAL ,621 - PUBLIC SAFETY,5010 - PATROL,2314,2013
PY,NOT APPLICABLE,"$26,696.72 ",1535,PUBLIC SAFETY RETIREMENT - 1535,20130622,2013-00008735 - 3850350,101,621,5010,101 - GENERAL ,621 - PUBLIC SAFETY,5010 - PATROL,2315,2013
PY,NOT APPLICABLE,"$120,520.79 ",1105,REGULAR FULL-TIME WAGES - 1105,20130622,2013-00008735 - 3850396,101,621,5010,101 - GENERAL ,621 - PUBLIC SAFETY,5010 - PATROL,2316,2013
PY,NOT APPLICABLE,"$7,299.85 ",1560,WORKERS COMPENSATION - 1560,20130622,2013-00008735 - 3850372,101,621,5010,101 - GENERAL ,621 - PUBLIC SAFETY,5010 - PATROL,2317,2013
PY,NOT APPLICABLE,"$6,034.87 ",1510,HEALTH INSURANCE - 1510,20130622,2013-00008735 - 3850416,101,621,5020,101 - GENERAL ,621 - PUBLIC SAFETY,5020 - CID,2318,2013
PY,NOT APPLICABLE,"$30,792.05 ",1105,REGULAR FULL-TIME WAGES - 1105,20130622,2013-00008735 - 3850454,101,621,5020,101 - GENERAL ,621 - PUBLIC SAFETY,5020 - CID,2319,2013
PY,NOT APPLICABLE,"$15,567.44 ",1105,REGULAR FULL-TIME WAGES - 1105,20130622,2013-00008735 - 3850464,101,621,5030,101 - GENERAL ,621 - PUBLIC SAFETY,5030 - SUPPORT SERVICES,2320,2013
PY,NOT APPLICABLE,"$5,404.80 ",1510,HEALTH INSURANCE - 1510,20130622,2013-00008735 - 3850469,101,621,5040,101 - GENERAL ,621 - PUBLIC SAFETY,5040 - EMERGENCY SERVICES,2321,2013
PY,NOT APPLICABLE,"$27,578.23 ",1105,REGULAR FULL-TIME WAGES - 1105,20130622,2013-00008735 - 3850485,101,621,5040,101 - GENERAL ,621 - PUBLIC SAFETY,5040 - EMERGENCY SERVICES,2322,2013
PY,NOT APPLICABLE,"$8,859.96 ",1105,REGULAR FULL-TIME WAGES - 1105,20130622,2013-00008735 - 3850502,101,641,5050,101 - GENERAL ,641 - HEALTH AND WELFARE,5050 - ANIMAL CARE AND WELFARE,2323,2013
PY,NOT APPLICABLE,"$5,401.00 ",1510,HEALTH INSURANCE - 1510,20130622,2013-00008735 - 3850588,101,650,3550,101 - GENERAL ,650 - PARKS & REC,3550 - PARKS MAINTENANCE,2324,2013
PY,NOT APPLICABLE,"$15,027.21 ",1105,REGULAR FULL-TIME WAGES - 1105,20130622,2013-00008735 - 3850592,101,650,3550,101 - GENERAL ,650 - PARKS & REC,3550 - PARKS MAINTENANCE,2325,2013
PY,NOT APPLICABLE,"$7,445.75 ",1510,HEALTH INSURANCE - 1510,20130622,2013-00008735 - 3850638,201,631,6100,201 - STREETS (HURF),631 - TRANSPORTATION,6100 - STREET OPERATIONS,2326,2013
PY,NOT APPLICABLE,"$20,717.71 ",1105,REGULAR FULL-TIME WAGES - 1105,20130622,2013-00008735 - 3850642,201,631,6100,201 - STREETS (HURF),631 - TRANSPORTATION,6100 - STREET OPERATIONS,2327,2013
PY,NOT APPLICABLE,"$5,025.63 ",1120,OTHER WAGES - 1120,20130622,2013-00008735 - 3850950,211,619,3585,211 - TRANSIT,619 - GEN GOVT,3585 - TRANSIT ADOT 2013,2328,2013
PY,NOT APPLICABLE,"$6,983.69 ",1105,REGULAR FULL-TIME WAGES - 1105,20130622,2013-00008735 - 3850948,211,619,3585,211 - TRANSIT,619 - GEN GOVT,3585 - TRANSIT ADOT 2013,2329,2013
PY,NOT APPLICABLE,"$7,862.26 ",1105,REGULAR FULL-TIME WAGES - 1105,20130622,2013-00008735 - 3850806,501,615,2510,501 - WASTEWATER,615 - FIN ADMIN,2510 - BILLING AND COLLECTION,2330,2013
PY,NOT APPLICABLE,"$8,347.00 ",1510,HEALTH INSURANCE - 1510,20130622,2013-00008735 - 3850826,501,632,6400,501 - WASTEWATER,632 - SANITATION,6400 - WASTEWATER,2331,2013
PY,NOT APPLICABLE,"$27,928.09 ",1105,REGULAR FULL-TIME WAGES - 1105,20130622,2013-00008735 - 3850830,501,632,6400,501 - WASTEWATER,632 - SANITATION,6400 - WASTEWATER,2332,2013
PY,NOT APPLICABLE,"$7,418.62 ",1105,REGULAR FULL-TIME WAGES - 1105,20130622,2013-00008735 - 3850838,501,660,6000,501 - WASTEWATER,660 - PUBLIC WORKS,6000 - ADMINISTRATION,2333,2013
PY,NOT APPLICABLE,"$9,237.17 ",1105,REGULAR FULL-TIME WAGES - 1105,20130622,2013-00008735 - 3850844,501,660,6010,501 - WASTEWATER,660 - PUBLIC WORKS,6010 - ENGINEERING,2334,2013
PY,NOT APPLICABLE,"$6,867.20 ",1105,REGULAR FULL-TIME WAGES - 1105,20130622,2013-00008735 - 3850852,601,660,6200,601 - FLEET SERVICES,660 - PUBLIC WORKS,6200 - FLEET SERVICES,2335,2013
RV,NOT APPLICABLE,"$21,281.44 ",440.4,INTERNAL SERVICE CHARGE - 440.4000,20130622,2013-00008735 - 3850855,604,0,0,604 - RISK MANAGEMENT,000 - GEN,0000 - GEN,2336,2013
RV,NOT APPLICABLE,"$124,714.00 ",440.4,INTERNAL SERVICE CHARGE - 440.4000,20130622,2013-00008735 - 3850862,605,0,0,605 - EMP BENEFIT TRUST,000 - GEN,0000 - GEN,2337,2013
RV,NOT APPLICABLE,"$11,865.60 ",479,OTHER REVENUE - 479.0000,20130622,2013-00008735 - 3850979,610,0,0,610 - NORTHWEST AZ EMP BENEFIT TRUST,000 - GEN,0000 - GEN,2338,2013
PY,NOT APPLICABLE,"$59,489.88 ",3430,BENEFIT PLAN ADMIN - 3430,20130622,2013-00008735 - 3850963,610,618,2040,610 - NORTHWEST AZ EMP BENEFIT TRUST,618 - PERS ADMIN,2040 - HUMAN RESOURCES,2339,2013
RV,NOT APPLICABLE,"$254,860.49 ",413.1,CITY SALES TAX - 413.1000,20130624,2013-00008769 - 3851795,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,2340,2013
EX,SELECTRON TECHNOLOGIES INC,"$6,400.00 ",4343,RENEWAL FOR VOICE PERMITS - 4343,20130624,15618 - 2080 - 06/24/2013 - 1353,101,619,2050,101 - GENERAL ,619 - GEN GOVT,2050 - TECH SERVICES,2341,2013
EX,MCCORMICK CONSTRUCTION CO.,"$29,900.00 ",7321,MONTANA WASH THROUGH MAY 2013 - 7321,20130624,1307 - 58634 - 06/24/2013 - 6158,304,700,6304,304 - FLOOD CONTROL,700 - CAPITAL OUTLAY,6304 - MONTANA WASH/GOLD RUSH ROAD,2342,2013
RV,NOT APPLICABLE,"$7,667.74 ",455.13,PRE-PAID PRINCIPAL - 455.1300,20130624,2013-00008911 - 3868538,408,0,0,408 - SID#3,000 - GEN,0000 - GEN,2343,2013
EX,MOHAVE COUNTY RECORDER,"$27,092.75 ",3830,"MAY 21, 2013 BHC GENERAL ELECTION - 3830",20130625,1316 - 052913 - 06/25/2013 - 987,101,611,1500,101 - GENERAL ,611 - LEGISLATIVE,1500 - CITY CLERK,2344,2013
EX,WEINGARTEN INVESTMENTS INC,"$9,340.93 ",3190,MAY 2013 PUBLIC INFRASTRUCTURE REBATE - 3190,20130625,18629 - MAY 2013 - 06/25/2013 - 1589,101,619,9500,101 - GENERAL ,619 - GEN GOVT,9500 - GENERAL SERVICES,2345,2013
EX,EPCOR WATER,"$5,264.17 ",4105,2255 TRANE RD - 4105,20130625,437 - 089853-9 0613 - 06/25/2013 - 2063,101,650,3550,101 - GENERAL ,650 - PARKS & REC,3550 - PARKS MAINTENANCE,2346,2013
RV,NOT APPLICABLE,"$9,207.31 ",455.13,PRE-PAID PRINCIPAL - 455.1300,20130625,2013-00008924 - 3868619,408,0,0,408 - SID#3,000 - GEN,0000 - GEN,2347,2013
EX,MOHAVE ELECTRIC COOPERATIVE,"$5,317.29 ",4110,1255 MARINA BLVD - 4110,20130626,1318 - 193 0613 - 06/26/2013 - 1564,101,619,3570,101 - GENERAL ,619 - GEN GOVT,3570 - FACILITIES MANAGEMENT,2348,2013
EX,MOHAVE ELECTRIC COOPERATIVE,"$6,122.63 ",4110,1255 MARINA BLVD - 4110,20130626,1318 - 049 0613 - 06/26/2013 - 1564,101,619,3570,101 - GENERAL ,619 - GEN GOVT,3570 - FACILITIES MANAGEMENT,2349,2013
RV,NOT APPLICABLE,"$31,936.00 ",431.22,INDIRECT FEDERAL GRANT - 431.2200,20130626,2013-00008694 - 3849431,242,0,3580,242 - GENERAL GRANTS,000 - GEN,3580 - SENIOR TRANSPORTATION,2350,2013
EX,NOT APPLICABLE,"$31,936.00 ",7420,VEHICLES - 7420,20130626,2013-00008694 - 3849430,242,700,3580,242 - GENERAL GRANTS,700 - CAPITAL OUTLAY,3580 - SENIOR TRANSPORTATION,2351,2013
EX,MOHAVE ELECTRIC COOPERATIVE,"$9,188.09 ",4110,901 RICHARDO AVE - 4110,20130626,1318 - 221 0613 - 06/26/2013 - 5255,501,632,6400,501 - WASTEWATER,632 - SANITATION,6400 - WASTEWATER,2352,2013
EX,MOHAVE ELECTRIC COOPERATIVE,"$15,783.29 ",4110,901 RICHARDO AVE SEWER PLANT - 4110,20130626,1318 - 080 0613 - 06/26/2013 - 5255,501,632,6400,501 - WASTEWATER,632 - SANITATION,6400 - WASTEWATER,2353,2013
RV,NOT APPLICABLE,"$9,383.11 ",413.1,CITY SALES TAX - 413.1000,20130627,2013-00008769 - 3851803,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,2354,2013
RV,NOT APPLICABLE,"$417,793.23 ",413.1,CITY SALES TAX - 413.1000,20130627,2013-00008769 - 3851802,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,2355,2013
EX,"AZ WASTEWATER INDUSTRIES, INC.","$9,486.36 ",7410,MP2020 PUSH CAMERA SYSTEM - 7410,20130627,4663 - 28985 - 06/27/2013 - 5326,501,700,6400,501 - WASTEWATER,700 - CAPITAL OUTLAY,6400 - WASTEWATER,2356,2013
EX,"PRO PETROLEUM, INC.","$24,665.79 ",6220,LOW SULPHUR DIESEL FUEL - 6220,20130627,3441 - 1549593 - 06/27/2013 - 5599,601,660,6200,601 - FLEET SERVICES,660 - PUBLIC WORKS,6200 - FLEET SERVICES,2357,2013
RV,NOT APPLICABLE,"$79,880.06 ",435.15,VEHICLE LICENSE TAX - 435.1500,20130628,2013-00008781 - 3852266,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,2358,2013
RV,NOT APPLICABLE,"$9,207.31 ",455.13,PRE-PAID PRINCIPAL - 455.1300,20130628,2013-00008936 - 3868673,408,0,0,408 - SID#3,000 - GEN,0000 - GEN,2359,2013
RV,NOT APPLICABLE,"$141,280.40 ",444.1,SEWER USER CHARGES - 444.1000,20130628,2013-00008737 - 3850999,501,0,0,501 - WASTEWATER,000 - GEN,0000 - GEN,2360,2013
RV,NOT APPLICABLE,"$173,766.97 ",444.1,SEWER USER CHARGES - 444.1000,20130628,2013-00008740 - 3851005,501,0,0,501 - WASTEWATER,000 - GEN,0000 - GEN,2361,2013
EX,HILL BROTHERS CHEMICAL CO.,"$5,716.07 ",6520,THIOGUARD - 6520,20130628,2999 - 4378157 - 06/28/2013 - 5219,501,632,6400,501 - WASTEWATER,632 - SANITATION,6400 - WASTEWATER,2362,2013
RV,NOT APPLICABLE,"$7,182.18 ",455.16,SPECIAL ASSESSMENT PYMT - 455.1600,20130629,2013-00008938 - 3868688,408,0,0,408 - SID#3,000 - GEN,0000 - GEN,2363,2013
RV,NOT APPLICABLE,"$21,301.17 ",413.1,CITY SALES TAX - 413.1000,20130630,2013-00008980 - 3873732,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,2364,2013
RV,NOT APPLICABLE,"$104,391.10 ",413.1,CITY SALES TAX - 413.1000,20130630,2013-00009010 - 3875969,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,2365,2013
RV,NOT APPLICABLE,"$13,327.63 ",438.13,FIRE DISTRICT DISPATCHING - 438.1300,20130630,2013-00008791 - 3853078,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,2366,2013
RV,NOT APPLICABLE,"$73,583.12 ",418.12,FRANCHISE TAX-CABLE TV - 418.1200,20130630,2013-00008998 - 3874870,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,2367,2013
RV,NOT APPLICABLE,"$6,307.64 ",418.11,FRANCHISE TAX-ELECTRIC - 418.1100,20130630,2013-00008998 - 3874872,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,2368,2013
RV,NOT APPLICABLE,"$21,956.74 ",418.13,FRANCHISE TAX-GAS - 418.1300,20130630,2013-00008998 - 3874868,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,2369,2013
RV,NOT APPLICABLE,"$6,517.24 ",418.15,FRANCHISE TAX-REFUSE - 418.1500,20130630,2013-00008980 - 3873737,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,2370,2013
RV,NOT APPLICABLE,"$7,744.77 ",418.14,FRANCHISE TAX-WATER - 418.1400,20130630,2013-00008998 - 3874866,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,2371,2013
RV,NOT APPLICABLE,"$8,599.84 ",418.14,FRANCHISE TAX-WATER - 418.1400,20130630,2013-00008998 - 3874864,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,2372,2013
RV,NOT APPLICABLE,"$58,368.27 ",418.14,FRANCHISE TAX-WATER - 418.1400,20130630,2013-00008998 - 3874865,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,2373,2013
RV,NOT APPLICABLE,"$7,106.16 ",442.1,SPECIAL POLICE SERVICES - 442.1000,20130630,2013-00008806 - 3855478,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,2374,2013
RV,NOT APPLICABLE,"$7,238.51 ",442.1,SPECIAL POLICE SERVICES - 442.1000,20130630,2013-00009150 - 3890748,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,2375,2013
RV,NOT APPLICABLE,"$11,573.70 ",442.1,SPECIAL POLICE SERVICES - 442.1000,20130630,2013-00008810 - 3856044,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,2376,2013
RV,NOT APPLICABLE,"$79,089.27 ",435.15,VEHICLE LICENSE TAX - 435.1500,20130630,2013-00009118 - 3888116,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,2377,2013
RV,NOT APPLICABLE,"$82,100.68 ",435.15,VEHICLE LICENSE TAX - 435.1500,20130630,2013-00009118 - 3888118,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,2378,2013
RV,NOT APPLICABLE,"$277,028.78 ",435.15,VEHICLE LICENSE TAX - 435.1500,20130630,2013-00009120 - 3888126,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,2379,2013
RV,NOT APPLICABLE,"$15,866.36 ",479,OTHER REVENUE - 479.0000,20130630,2013-00009321 - 3916568,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,2380,2013
RV,NOT APPLICABLE,"$12,184.22 ",422.11,BUILDING-PLAN REVIEWS - 422.1100,20130630,2014-00000564 - 3873771,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,2381,2013
EX,NOT APPLICABLE,"$8,574.00 ",1510,HEALTH INSURANCE - 1510,20130630,2013-00008887 - 3868343,101,612,4500,101 - GENERAL ,612 - JUDICIAL,4500 - MUNICIPAL COURT,2382,2013
PY,NOT APPLICABLE,"$9,058.37 ",1105,REGULAR FULL-TIME WAGES - 1105,20130630,2013-00008839 - 3859970,101,612,4500,101 - GENERAL ,612 - JUDICIAL,4500 - MUNICIPAL COURT,2383,2013
EX,WELLS FARGO,"$6,057.83 ",3420,BANK SERVICE CHARGES FOR FY 2013 - 3420,20130630,4177 - 2013-00001081 - 06/30/2013 - 1169,101,615,2500,101 - GENERAL ,615 - FIN ADMIN,2500 - BUDGET AND ACCOUNTING,2384,2013
EX,ALBERT HOLLER & ASSOCIATES,"$5,000.00 ",3205,"AUDITING AND CANVASSING, JUNE 2013 - 3205",20130630,5353 - JUNE 30 2013 - 06/30/2013 - 1207,101,615,2510,101 - GENERAL ,615 - FIN ADMIN,2510 - BILLING AND COLLECTION,2385,2013
EX,NOT APPLICABLE,"$8,535.00 ",1510,HEALTH INSURANCE - 1510,20130630,2013-00008887 - 3868348,101,616,4000,101 - GENERAL ,616 - LAW,4000 - LEGAL SERVICES,2386,2013
EX,NOT APPLICABLE,"$9,090.46 ",1105,REGULAR FULL-TIME WAGES - 1105,20130630,2013-00009268 - 3907362,101,616,4000,101 - GENERAL ,616 - LAW,4000 - LEGAL SERVICES,2387,2013
PY,NOT APPLICABLE,"$10,893.43 ",1105,REGULAR FULL-TIME WAGES - 1105,20130630,2013-00008839 - 3860006,101,616,4000,101 - GENERAL ,616 - LAW,4000 - LEGAL SERVICES,2388,2013
EX,INTERTECH COMPUTER PRODUCTS INC,"$13,642.69 ",7025,DELL EQUALOGIC PS4100E SERVER - 7025,20130630,738 - 0009054-IN - 06/30/2013 - 1341,101,619,2050,101 - GENERAL ,619 - GEN GOVT,2050 - TECH SERVICES,2389,2013
EX,INTERTECH COMPUTER PRODUCTS INC,"$5,720.84 ",4343,DELL SONIC WALL SECURITY SUITE - 4343,20130630,738 - 0009071-IN - 06/30/2013 - 1353,101,619,2050,101 - GENERAL ,619 - GEN GOVT,2050 - TECH SERVICES,2390,2013
EX,"ANTHONY J MULLAN, ATTY AT LAW","$5,333.73 ",3215,ADDITIONAL CASES FOR FY 2013 - 3215,20130630,13335 - JUNE 2013 FINAL - 06/30/2013 - 1586,101,619,9500,101 - GENERAL ,619 - GEN GOVT,9500 - GENERAL SERVICES,2391,2013
EX,WEINGARTEN INVESTMENTS INC,"$11,099.75 ",3190,JUNE 2013 PUBLIC INFRASTRUCTURE REBATE - 3190,20130630,18629 - JUNE 2013 - 06/30/2013 - 1589,101,619,9500,101 - GENERAL ,619 - GEN GOVT,9500 - GENERAL SERVICES,2392,2013
EX,NOT APPLICABLE,"$7,510.65 ",7030,"EQUIPMENT<$5,000 - 7030",20130630,2013-00009393 - 3957742,101,621,2050,101 - GENERAL ,621 - PUBLIC SAFETY,2050 - TECH SERVICES,2393,2013
EX,NOT APPLICABLE,"$20,896.41 ",6210,GASOLINE - 6210,20130630,2013-00008812 - 3856196,101,621,5000,101 - GENERAL ,621 - PUBLIC SAFETY,5000 - ADMINISTRATION,2394,2013
EX,NOT APPLICABLE,"$29,503.83 ",5210,PROPERTY & RISK INSURANCE - 5210,20130630,2013-00004008 - 3698012,101,621,5000,101 - GENERAL ,621 - PUBLIC SAFETY,5000 - ADMINISTRATION,2395,2013
PY,NOT APPLICABLE,"$8,497.69 ",1105,REGULAR FULL-TIME WAGES - 1105,20130630,2013-00008839 - 3860076,101,621,5000,101 - GENERAL ,621 - PUBLIC SAFETY,5000 - ADMINISTRATION,2396,2013
EX,NOT APPLICABLE,"$18,945.58 ",4330,VEHICLE REPAIRS & SERVICE - 4330,20130630,2013-00002958 - 3665080,101,621,5000,101 - GENERAL ,621 - PUBLIC SAFETY,5000 - ADMINISTRATION,2397,2013
EX,MOHAVE COUNTY SHERIFF'S OFFICE,"$72,858.85 ",3820,"INMATE HOUSING, JUNE 2013 REVISED - 3820",20130630,1312 - BHC 0613 REVISED - 06/30/2013 - 1689,101,621,5010,101 - GENERAL ,621 - PUBLIC SAFETY,5010 - PATROL,2398,2013
EX,NOT APPLICABLE,"$42,895.00 ",1510,HEALTH INSURANCE - 1510,20130630,2013-00008887 - 3869062,101,621,5010,101 - GENERAL ,621 - PUBLIC SAFETY,5010 - PATROL,2399,2013
PY,NOT APPLICABLE,"$11,885.40 ",1510,HEALTH INSURANCE - 1510,20130630,2013-00008839 - 3860093,101,621,5010,101 - GENERAL ,621 - PUBLIC SAFETY,5010 - PATROL,2400,2013
PY,NOT APPLICABLE,"$14,707.23 ",1535,PUBLIC SAFETY RETIREMENT - 1535,20130630,2013-00008839 - 3860148,101,621,5010,101 - GENERAL ,621 - PUBLIC SAFETY,5010 - PATROL,2401,2013
PY,NOT APPLICABLE,"$66,442.73 ",1105,REGULAR FULL-TIME WAGES - 1105,20130630,2013-00008839 - 3860194,101,621,5010,101 - GENERAL ,621 - PUBLIC SAFETY,5010 - PATROL,2402,2013
EX,NOT APPLICABLE,"$10,718.00 ",1510,HEALTH INSURANCE - 1510,20130630,2013-00008887 - 3869063,101,621,5020,101 - GENERAL ,621 - PUBLIC SAFETY,5020 - CID,2403,2013
PY,NOT APPLICABLE,"$15,566.91 ",1105,REGULAR FULL-TIME WAGES - 1105,20130630,2013-00008839 - 3860249,101,621,5020,101 - GENERAL ,621 - PUBLIC SAFETY,5020 - CID,2404,2013
EX,NOT APPLICABLE,"$8,574.00 ",1510,HEALTH INSURANCE - 1510,20130630,2013-00008887 - 3869064,101,621,5030,101 - GENERAL ,621 - PUBLIC SAFETY,5030 - SUPPORT SERVICES,2405,2013
PY,NOT APPLICABLE,"$6,586.48 ",1105,REGULAR FULL-TIME WAGES - 1105,20130630,2013-00008839 - 3860258,101,621,5030,101 - GENERAL ,621 - PUBLIC SAFETY,5030 - SUPPORT SERVICES,2406,2013
EX,NOT APPLICABLE,"$11,433.00 ",1510,HEALTH INSURANCE - 1510,20130630,2013-00008887 - 3869065,101,621,5040,101 - GENERAL ,621 - PUBLIC SAFETY,5040 - EMERGENCY SERVICES,2407,2013
PY,NOT APPLICABLE,"$14,507.36 ",1105,REGULAR FULL-TIME WAGES - 1105,20130630,2013-00008839 - 3860278,101,621,5040,101 - GENERAL ,621 - PUBLIC SAFETY,5040 - EMERGENCY SERVICES,2408,2013
EX,NOT APPLICABLE,"$5,002.00 ",1510,HEALTH INSURANCE - 1510,20130630,2013-00008887 - 3869066,101,641,5050,101 - GENERAL ,641 - HEALTH AND WELFARE,5050 - ANIMAL CARE AND WELFARE,2409,2013
EX,NOT APPLICABLE,"$12,000.00 ",7030,"EQUIPMENT<$5,000 - 7030",20130630,2013-00008990 - 3873813,101,650,3505,101 - GENERAL ,650 - PARKS & REC,3505 - RECREATION SERVICES,2410,2013
EX,NOT APPLICABLE,"$5,951.94 ",6120,SPECIALTY SUPPLIES - 6120,20130630,2013-00009393 - 3957709,101,650,3520,101 - GENERAL ,650 - PARKS & REC,3520 - WATER ACTIVITIES,2411,2013
EX,NOT APPLICABLE,"$14,011.19 ",1105,REGULAR FULL-TIME WAGES - 1105,20130630,2013-00009310 - 3912911,101,650,3530,101 - GENERAL ,650 - PARKS & REC,3530 - ATHLETICS,2412,2013
EX,NOT APPLICABLE,"$9,289.00 ",1510,HEALTH INSURANCE - 1510,20130630,2013-00008887 - 3869073,101,650,3550,101 - GENERAL ,650 - PARKS & REC,3550 - PARKS MAINTENANCE,2413,2013
EX,NOT APPLICABLE,"$14,798.51 ",3230,LANDSCAPING SERVICES - 3230,20130630,2013-00008883 - 3868214,101,650,3550,101 - GENERAL ,650 - PARKS & REC,3550 - PARKS MAINTENANCE,2414,2013
EX,NOT APPLICABLE,"$18,000.00 ",3230,LANDSCAPING SERVICES - 3230,20130630,2013-00008883 - 3868212,101,650,3550,101 - GENERAL ,650 - PARKS & REC,3550 - PARKS MAINTENANCE,2415,2013
PY,NOT APPLICABLE,"$7,513.59 ",1105,REGULAR FULL-TIME WAGES - 1105,20130630,2013-00008839 - 3860388,101,650,3550,101 - GENERAL ,650 - PARKS & REC,3550 - PARKS MAINTENANCE,2416,2013
EX,NOT APPLICABLE,"$5,041.67 ",4330,VEHICLE REPAIRS & SERVICE - 4330,20130630,2013-00002958 - 3665082,101,650,3550,101 - GENERAL ,650 - PARKS & REC,3550 - PARKS MAINTENANCE,2417,2013
EX,NOT APPLICABLE,"$5,390.29 ",7320,SITE IMPROVEMENTS - 7320,20130630,2013-00009393 - 3957746,101,700,3550,101 - GENERAL ,700 - CAPITAL OUTLAY,3550 - PARKS MAINTENANCE,2418,2013
RV,NOT APPLICABLE,"$47,532.33 ",491.115,TRANSFER FROM CAP PROJ FD - 491.1150,20130630,2013-00009099 - 3881684,101,790,9500,101 - GENERAL ,790 - OPERATING TRANSFERS,9500 - GENERAL SERVICES,2419,2013
EX,NOT APPLICABLE,"$122,484.88 ",9030,TRANSFER TO DEBT SRV FUND - 9030,20130630,2013-00005729 - 3754308,101,790,9500,101 - GENERAL ,790 - OPERATING TRANSFERS,9500 - GENERAL SERVICES,2420,2013
EX,NOT APPLICABLE,"$6,627.45 ",9050,TRANSFER TO PROPRIETARY FUNDS - 9050,20130630,2013-00008988 - 3873792,101,790,9500,101 - GENERAL ,790 - OPERATING TRANSFERS,9500 - GENERAL SERVICES,2421,2013
EX,NOT APPLICABLE,"$44,847.08 ",9050,TRANSFER TO PROPRIETARY FUNDS - 9050,20130630,2013-00008988 - 3873803,101,790,9500,101 - GENERAL ,790 - OPERATING TRANSFERS,9500 - GENERAL SERVICES,2422,2013
EX,NOT APPLICABLE,"$82,751.95 ",9050,TRANSFER TO PROPRIETARY FUNDS - 9050,20130630,2013-00008988 - 3873796,101,790,9500,101 - GENERAL ,790 - OPERATING TRANSFERS,9500 - GENERAL SERVICES,2423,2013
EX,NOT APPLICABLE,"$12,291.75 ",9020,TRANSFER TO SPEC REV FUND - 9020,20130630,2013-00008307 - 3832996,101,790,9500,101 - GENERAL ,790 - OPERATING TRANSFERS,9500 - GENERAL SERVICES,2424,2013
RV,NOT APPLICABLE,"$265,493.22 ",435.14,HIGHWAY USER REVENUE - 435.1400,20130630,2013-00009119 - 3888122,201,0,0,201 - STREETS (HURF),000 - GEN,0000 - GEN,2425,2013
EX,NOT APPLICABLE,"$7,384.41 ",6220,DIESEL - 6220,20130630,2013-00008812 - 3856203,201,631,6100,201 - STREETS (HURF),631 - TRANSPORTATION,6100 - STREET OPERATIONS,2426,2013
EX,NOT APPLICABLE,"$12,076.00 ",1510,HEALTH INSURANCE - 1510,20130630,2013-00008887 - 3869082,201,631,6100,201 - STREETS (HURF),631 - TRANSPORTATION,6100 - STREET OPERATIONS,2427,2013
