Account Number,Fund Number,Fund Name,Fund Group,Department,Division,Account Description,Sub Account Description,Element Description,Object Description,Year,Amount
415-0000-361.50-00,415,FOREIGN FIRE INSURANCE,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2012,$0
420-0000-300.00-00,420,POLICE PENSION FUND,TRUST & AGENCIES,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2012,$0
420-0000-315.20-00,420,POLICE PENSION FUND,TRUST & AGENCIES,,,TAXES,INCOME TAXES,CORP PERS REPLACEMENT TAX,,2012,$0
420-0000-361.10-00,420,POLICE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2012,$20
420-0000-361.15-00,420,POLICE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON MONEY MKT,,2012,$100
420-0000-361.60-00,420,POLICE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INT ON T-BILLS/T-NOTES,,2012,$0
420-0000-361.65-00,420,POLICE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,AGENCY INTEREST,,2012,$0
420-0000-361.80-00,420,POLICE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,STOCK DIVIDENDS,,2012,"$300,000"
420-0000-361.85-00,420,POLICE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON FIXED INCOME,,2012,"$250,000"
420-0000-362.10-00,420,POLICE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,GAINS ON INVESTMENTS,FIXED INCOME,,2012,$0
420-0000-365.60-00,420,POLICE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,EMPLOYER CONTRIBUTIONS,,2012,"$3,076,830"
420-0000-365.62-00,420,POLICE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,EE/RETIREE CONTRIB-CHOICE,,2012,"$556,000"
420-0000-365.65-00,420,POLICE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,TRANSFER CONTRIBUTIONS,,2012,$0
420-0000-365.70-00,420,POLICE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,OTHER CONTRIBUTIONS,,2012,$0
420-0000-365.80-00,420,POLICE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,PENSION BUY BACK,,2012,$0
420-0000-395.30-00,420,POLICE PENSION FUND,TRUST & AGENCIES,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2012,$0
420-0000-395.55-00,420,POLICE PENSION FUND,TRUST & AGENCIES,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,GAIN/LOSS SALE OF INVSTMT,,2012,$0
421-0000-300.00-00,421,LIBRARY TRUST FUND,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2012,$0
421-0000-334.90-00,421,LIBRARY TRUST FUND,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,INTERGOVERNMENTAL REVENUE,OTHER FED/STATE GRANTS,,2012,$0
421-0000-361.10-00,421,LIBRARY TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2012,$200
421-0000-361.20-00,421,LIBRARY TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,ILLINOIS FUNDS INTEREST,,2012,$0
421-0000-361.50-00,421,LIBRARY TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2012,$0
421-0000-361.95-00,421,LIBRARY TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BEQUEATH INTEREST,,2012,"$15,000"
421-0000-365.20-00,421,LIBRARY TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,GIFTS,,2012,"$61,000"
421-0000-365.95-00,421,LIBRARY TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,CANTERBURY INTEREST,,2012,$0
421-0000-395.30-00,421,LIBRARY TRUST FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2012,$0
440-0000-300.00-00,440,ACTIVE HEALTHCARE FUND,INTERNAL SERVICE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2012,"$1,301,045"
440-0000-341.32-00,440,ACTIVE HEALTHCARE FUND,INTERNAL SERVICE FUNDS,,,CHARGES FOR SERVICES,GENERAL GOVERNMENT,INTERNAL USER CHARGES,,2012,"$4,588,315"
440-0000-361.10-00,440,ACTIVE HEALTHCARE FUND,INTERNAL SERVICE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2012,$125
440-0000-361.20-00,440,ACTIVE HEALTHCARE FUND,INTERNAL SERVICE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,ILLINOIS FUNDS INTEREST,,2012,"$5,000"
440-0000-361.50-00,440,ACTIVE HEALTHCARE FUND,INTERNAL SERVICE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2012,"$35,000"
440-0000-365.62-00,440,ACTIVE HEALTHCARE FUND,INTERNAL SERVICE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,EE/RETIREE CONTRIB-CHOICE,,2012,"$989,725"
440-0000-365.63-00,440,ACTIVE HEALTHCARE FUND,INTERNAL SERVICE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,EE CONTRIB-CHOICE COBRA,,2012,"$6,620"
440-0000-365.64-00,440,ACTIVE HEALTHCARE FUND,INTERNAL SERVICE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,RETIREE CONTRIBUTIONS,,2012,"$716,555"
440-0000-365.67-00,440,ACTIVE HEALTHCARE FUND,INTERNAL SERVICE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,DEP CARE CONTRIBUTIONS,,2012,"$20,000"
440-0000-365.68-00,440,ACTIVE HEALTHCARE FUND,INTERNAL SERVICE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,SEC 125 FLX SP CONTRIBUTN,,2012,"$190,000"
440-0000-391.45-00,440,ACTIVE HEALTHCARE FUND,INTERNAL SERVICE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM LIABILITY INS FUND,,2012,"$31,430"
440-0000-395.30-00,440,ACTIVE HEALTHCARE FUND,INTERNAL SERVICE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2012,"$70,000"
441-0000-300.00-00,441,RETIREE HEALTHCARE FUND,INTERNAL SERVICE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2012,$0
441-0000-361.10-00,441,RETIREE HEALTHCARE FUND,INTERNAL SERVICE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2012,$0
441-0000-361.20-00,441,RETIREE HEALTHCARE FUND,INTERNAL SERVICE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,ILLINOIS FUNDS INTEREST,,2012,$0
441-0000-391.44-00,441,RETIREE HEALTHCARE FUND,INTERNAL SERVICE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM HEALTH INS FUND,,2012,"$500,000"
443-0000-300.00-00,443,INFORMATION TECH FUND,INTERNAL SERVICE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2012,"$120,315"
443-0000-341.32-00,443,INFORMATION TECH FUND,INTERNAL SERVICE FUNDS,,,CHARGES FOR SERVICES,GENERAL GOVERNMENT,INTERNAL USER CHARGES,,2012,"$1,020,195"
443-0000-361.10-00,443,INFORMATION TECH FUND,INTERNAL SERVICE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2012,$50
443-0000-361.20-00,443,INFORMATION TECH FUND,INTERNAL SERVICE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,ILLINOIS FUNDS INTEREST,,2012,$100
443-0000-391.10-10,443,INFORMATION TECH FUND,INTERNAL SERVICE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM GENERAL,FROM GENERAL FUND,2012,$0
443-0000-395.30-00,443,INFORMATION TECH FUND,INTERNAL SERVICE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2012,$0
445-0000-300.00-00,445,LIABILITY INSURANCE FUND,INTERNAL SERVICE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2012,"$672,520"
445-0000-334.90-00,445,LIABILITY INSURANCE FUND,INTERNAL SERVICE FUNDS,,,INTERGOVERNMENTAL REVENUE,INTERGOVERNMENTAL REVENUE,OTHER FED/STATE GRANTS,,2012,$0
445-0000-341.32-00,445,LIABILITY INSURANCE FUND,INTERNAL SERVICE FUNDS,,,CHARGES FOR SERVICES,GENERAL GOVERNMENT,INTERNAL USER CHARGES,,2012,"$2,500,140"
445-0000-361.10-00,445,LIABILITY INSURANCE FUND,INTERNAL SERVICE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2012,$55
445-0000-361.20-00,445,LIABILITY INSURANCE FUND,INTERNAL SERVICE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,ILLINOIS FUNDS INTEREST,,2012,"$2,300"
445-0000-361.50-00,445,LIABILITY INSURANCE FUND,INTERNAL SERVICE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2012,"$30,305"
445-0000-395.30-00,445,LIABILITY INSURANCE FUND,INTERNAL SERVICE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2012,$0
448-0000-300.00-00,448,FLEET FUND,INTERNAL SERVICE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2012,"$575,845"
448-0000-334.90-00,448,FLEET FUND,INTERNAL SERVICE FUNDS,,,INTERGOVERNMENTAL REVENUE,INTERGOVERNMENTAL REVENUE,OTHER FED/STATE GRANTS,,2012,$0
448-0000-341.04-00,448,FLEET FUND,INTERNAL SERVICE FUNDS,,,CHARGES FOR SERVICES,GENERAL GOVERNMENT,CIVIC CENTER SVC CHARGE,,2012,$0
448-0000-341.05-00,448,FLEET FUND,INTERNAL SERVICE FUNDS,,,CHARGES FOR SERVICES,GENERAL GOVERNMENT,EXTERNAL USER CHARGES,,2012,"$6,000"
448-0000-341.32-00,448,FLEET FUND,INTERNAL SERVICE FUNDS,,,CHARGES FOR SERVICES,GENERAL GOVERNMENT,INTERNAL USER CHARGES,,2012,"$3,930,490"
448-0000-351.10-20,448,FLEET FUND,INTERNAL SERVICE FUNDS,,,FINES AND FORFEITURES,COURT,CIRCUIT COURT,LAW ENFRCMNT VEHICLE FINE,2012,"$11,000"
448-0000-361.10-00,448,FLEET FUND,INTERNAL SERVICE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2012,$200
448-0000-361.20-00,448,FLEET FUND,INTERNAL SERVICE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,ILLINOIS FUNDS INTEREST,,2012,$200
448-0000-361.50-00,448,FLEET FUND,INTERNAL SERVICE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2012,"$4,000"
448-0000-365.00-00,448,FLEET FUND,INTERNAL SERVICE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,,,2012,$0
448-0000-392.20-00,448,FLEET FUND,INTERNAL SERVICE FUNDS,,,OTHER FINANCING SOURCES,SALE OF CITY PROPERTY,SALE OF SURPLUS PROPERTY,,2012,"$12,495"
448-0000-395.20-00,448,FLEET FUND,INTERNAL SERVICE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,DAMAGE TO CITY PROPERTY,,2012,$0
448-0000-395.30-00,448,FLEET FUND,INTERNAL SERVICE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2012,$0
448-0000-395.65-00,448,FLEET FUND,INTERNAL SERVICE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,DAMAGE CLAIM REIMBURSMENT,,2012,$0
448-0000-395.85-00,448,FLEET FUND,INTERNAL SERVICE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,GAIN/LOSS CAPITAL ASSET,,2012,$0
449-0000-300.00-00,449,SANITATION FUND,ENTERPRISE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2012,$0
449-0000-311.10-00,449,SANITATION FUND,ENTERPRISE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2012,"$225,000"
449-0000-334.90-00,449,SANITATION FUND,ENTERPRISE FUNDS,,,INTERGOVERNMENTAL REVENUE,INTERGOVERNMENTAL REVENUE,OTHER FED/STATE GRANTS,,2012,"$32,825"
449-0000-341.50-06,449,SANITATION FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,GENERAL GOVERNMENT,MUNICIPAL SERVICES,PUBLIC WORK SERVICES,2012,"$36,085"
449-0000-343.33-01,449,SANITATION FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,USER CHARGES,2012,"$1,377,000"
449-0000-361.10-00,449,SANITATION FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2012,$0
449-0000-365.00-00,449,SANITATION FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,,,2012,$0
449-0000-391.10-00,449,SANITATION FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM GENERAL,,2012,"$496,875"
449-0000-392.40-00,449,SANITATION FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,SALE OF CITY PROPERTY,SALE OF SCRAP,,2012,$0
449-0000-395.25-00,449,SANITATION FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,ADVERTISING FEES,,2012,"$14,880"
449-0000-395.52-00,449,SANITATION FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,SANITATION CARTS,,2012,"$30,260"
449-0000-395.53-00,449,SANITATION FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,LAWN WASTE PROGRAM,,2012,"$65,000"
449-0000-395.54-00,449,SANITATION FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,BRUSH PICKUP,,2012,"$4,675"
449-0000-395.56-00,449,SANITATION FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,SANITATION BULKY PICKUP,,2012,"$2,000"
450-0000-300.00-00,450,DEBT SERVICE FUND,DEBT SERVICE FUND,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2012,"$328,855"
450-0000-361.10-00,450,DEBT SERVICE FUND,DEBT SERVICE FUND,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2012,$0
450-0000-361.83-00,450,DEBT SERVICE FUND,DEBT SERVICE FUND,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INT ON MUNICIPAL BONDS,,2012,$0
450-0000-391.10-00,450,DEBT SERVICE FUND,DEBT SERVICE FUND,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM GENERAL,,2012,$0
450-0000-391.23-00,450,DEBT SERVICE FUND,DEBT SERVICE FUND,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM CDBG,,2012,"$278,225"
450-0000-391.25-00,450,DEBT SERVICE FUND,DEBT SERVICE FUND,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM SPECIAL SERV. AREA 3,,2012,$0
450-0000-391.34-00,450,DEBT SERVICE FUND,DEBT SERVICE FUND,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,TRANSFER FROM TIF,,2012,$0
450-0000-391.34-01,450,DEBT SERVICE FUND,DEBT SERVICE FUND,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,TRANSFER FROM TIF,TIF #1,2012,"$2,468,970"
450-0000-391.34-02,450,DEBT SERVICE FUND,DEBT SERVICE FUND,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,TRANSFER FROM TIF,TIF #2,2012,"$240,440"
450-0000-391.34-07,450,DEBT SERVICE FUND,DEBT SERVICE FUND,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,TRANSFER FROM TIF,TIF #7,2012,$0
450-0000-391.51-00,450,DEBT SERVICE FUND,DEBT SERVICE FUND,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM CAPITAL IMPROVEMENTS,,2012,"$3,806,240"
450-0000-393.10-00,450,DEBT SERVICE FUND,DEBT SERVICE FUND,,,OTHER FINANCING SOURCES,PROCEEDS OF GLT DEBT,G.O. BOND PROCEEDS,,2012,"$263,190"
452-0000-361.10-00,452,2007 ESCROW FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2012,$0
452-0000-393.10-00,452,2007 ESCROW FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,PROCEEDS OF GLT DEBT,G.O. BOND PROCEEDS,,2012,$0
452-0000-395.00-00,452,2007 ESCROW FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,,,2012,$0
510-0000-300.00-00,510,CAPITAL IMPROVEMENT FUND,CAPITAL IMPROVEMENT FUND,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2012,"$90,000"
510-0000-311.10-00,510,CAPITAL IMPROVEMENT FUND,CAPITAL IMPROVEMENT FUND,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2012,$0
510-0000-313.30-00,510,CAPITAL IMPROVEMENT FUND,CAPITAL IMPROVEMENT FUND,,,TAXES,SALES TAX,HOME RULE SALES TAX,,2012,"$4,932,000"
510-0000-314.60-10,510,CAPITAL IMPROVEMENT FUND,CAPITAL IMPROVEMENT FUND,,,TAXES,SELECTIVE SALES/USE TAXES,UTILITY TAX,GAS,2012,"$1,062,100"
510-0000-314.60-20,510,CAPITAL IMPROVEMENT FUND,CAPITAL IMPROVEMENT FUND,,,TAXES,SELECTIVE SALES/USE TAXES,UTILITY TAX,ELECTRIC,2012,"$1,407,900"
510-0000-334.90-00,510,CAPITAL IMPROVEMENT FUND,CAPITAL IMPROVEMENT FUND,,,INTERGOVERNMENTAL REVENUE,INTERGOVERNMENTAL REVENUE,OTHER FED/STATE GRANTS,,2012,$0
510-0000-341.20-02,510,CAPITAL IMPROVEMENT FUND,CAPITAL IMPROVEMENT FUND,,,CHARGES FOR SERVICES,GENERAL GOVERNMENT,ENGINEERING FEES,SIDEWALK REIMBURSEMENT,2012,"$20,000"
510-0000-341.20-06,510,CAPITAL IMPROVEMENT FUND,CAPITAL IMPROVEMENT FUND,,,CHARGES FOR SERVICES,GENERAL GOVERNMENT,ENGINEERING FEES,DRAINAGE REIMBURSEMENT,2012,$0
510-0000-341.20-07,510,CAPITAL IMPROVEMENT FUND,CAPITAL IMPROVEMENT FUND,,,CHARGES FOR SERVICES,GENERAL GOVERNMENT,ENGINEERING FEES,STREET REIMBURSEMENT,2012,$0
510-0000-361.10-00,510,CAPITAL IMPROVEMENT FUND,CAPITAL IMPROVEMENT FUND,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2012,$0
510-0000-361.20-00,510,CAPITAL IMPROVEMENT FUND,CAPITAL IMPROVEMENT FUND,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,ILLINOIS FUNDS INTEREST,,2012,$0
510-0000-361.40-00,510,CAPITAL IMPROVEMENT FUND,CAPITAL IMPROVEMENT FUND,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST - RAN,,2012,$0
510-0000-361.50-00,510,CAPITAL IMPROVEMENT FUND,CAPITAL IMPROVEMENT FUND,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2012,$0
510-0000-391.10-00,510,CAPITAL IMPROVEMENT FUND,CAPITAL IMPROVEMENT FUND,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM GENERAL,,2012,$0
510-0000-392.20-00,510,CAPITAL IMPROVEMENT FUND,CAPITAL IMPROVEMENT FUND,,,OTHER FINANCING SOURCES,SALE OF CITY PROPERTY,SALE OF SURPLUS PROPERTY,,2012,$0
510-0000-395.30-00,510,CAPITAL IMPROVEMENT FUND,CAPITAL IMPROVEMENT FUND,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2012,$0
249-0000-395.30-00,249,TIF #10 HEALTH PARK,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2012,$0
234-0000-363.20-10,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,RENTALS & LEASES,BUILDING RENTAL,WASHINGTON SQUARE APT,2012,$0
245-0000-361.50-00,245,TIF #7 MOLINE BUS PARK,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2012,$0
452-0000-361.51-00,452,2007 ESCROW FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON LOANS,,2012,$0
452-0000-371.10-00,452,2007 ESCROW FUND,SPECIAL REVENUE FUNDS,,,LOAN PAYMENTS,LOAN REPAYMENT OF PRINCIP,REPAY ON LOANS,,2012,"$600,000"
025-0000-392.20-00,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,SALE OF CITY PROPERTY,SALE OF SURPLUS PROPERTY,,2012,$0
245-0000-395.99-00,245,TIF #7 MOLINE BUS PARK,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,PREMIUMS,,2012,$0
450-0000-395.99-00,450,DEBT SERVICE FUND,DEBT SERVICE FUND,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,PREMIUMS,,2012,$0
248-0000-361.10-00,248,TIF #8 SOUTHPARK MALL,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2012,$0
444-0000-391.10-00,444,PUBLIC SAFETY EQUIP FUND,INTERNAL SERVICE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM GENERAL,,2012,$0
440-0000-361.21-00,440,ACTIVE HEALTHCARE FUND,INTERNAL SERVICE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,IMET INTEREST,,2012,$0
441-0000-361.21-00,441,RETIREE HEALTHCARE FUND,INTERNAL SERVICE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,IMET INTEREST,,2012,$0
310-0000-361.21-00,310,WATER FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,IMET INTEREST,,2012,$0
330-0000-361.21-00,330,STORMWATER UTILITY FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,IMET INTEREST,,2012,$0
448-0000-361.21-00,448,FLEET FUND,INTERNAL SERVICE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,IMET INTEREST,,2012,$0
450-0000-391.34-04,450,DEBT SERVICE FUND,DEBT SERVICE FUND,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,TRANSFER FROM TIF,TIF #4,2012,$0
245-0000-300.00-00,245,TIF #7 MOLINE BUS PARK,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2012,"$75,000"
450-0000-391.34-06,450,DEBT SERVICE FUND,DEBT SERVICE FUND,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,TRANSFER FROM TIF,TIF #6,2012,$0
252-0000-395.61-00,252,SSA #5 ÿBASS ST LANDING,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,SPECIAL EVENT SERVICES,,2012,$0
252-0000-363.75-00,252,SSA #5 ÿBASS ST LANDING,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,RENTALS & LEASES,PLAZA RENTAL FEES,,2012,$0
025-0000-363.20-10,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,RENTALS & LEASES,BUILDING RENTAL,WASHINGTON SQUARE APT,2012,$0
234-0000-391.05-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,TRANSFER FROM NSP2,,2012,$0
512-0000-391.10-00,512,VIDEO GAMING SPECIAL PROJ,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM GENERAL,,2012,$0
237-0000-300.00-00,237,TIF #4 AUTUMN TRAILS,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2012,"$680,200"
445-0000-361.21-00,445,LIABILITY INSURANCE FUND,INTERNAL SERVICE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,IMET INTEREST,,2012,$0
249-0000-361.10-00,249,TIF #10 HEALTH PARK,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2012,$0
012-0000-300.00-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2013,"$576,100"
012-0000-316.10-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,TAXES,OTHER TAXES,AMUSEMENT TAX,,2013,"$250,000"
012-0000-361.10-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2013,$0
012-0000-365.40-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,GIFTS,,2013,$0
012-0000-365.46-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,POLICE PROJECTS,,2013,"$100,000"
