Account Number,Fund Number,Fund,Group Fund,Department,Division,Basic Activity,Sub Activity,Element,Account Name,Year,Amount,,,,,,,,,,,,,,
120-1524-452.03-61,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,PROFESSIONAL SERVICES,PAYMENT TO AGENCIES,2014,$0,,,,,,,,,,,,,,
120-1524-452.04-15,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,PROPERTY SERVICES,RENTAL EXPENSE,2014,$0,,,,,,,,,,,,,,
120-1524-452.04-16,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,PROPERTY SERVICES,UTILITY SERVICES,2014,$0,,,,,,,,,,,,,,
120-1524-452.04-25,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,PROPERTY SERVICES,CONTRACTUAL REPAIRS,2014,$0,,,,,,,,,,,,,,
120-1524-452.04-26,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,PROPERTY SERVICES,MAINT SERVICE CONTRACTS,2014,$0,,,,,,,,,,,,,,
120-1524-452.04-28,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,PROPERTY SERVICES,VEHICLE LEASE,2014,$0,,,,,,,,,,,,,,
120-1524-452.04-40,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,PROPERTY SERVICES,TAXES,2014,$0,,,,,,,,,,,,,,
120-1524-452.05-55,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,OTHER SERVICES,LIABILITY INSUR COVERAGE,2014,$0,,,,,,,,,,,,,,
120-1524-452.06-01,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,SUPPLIES,OFFICE SUPPLIES,2014,$0,,,,,,,,,,,,,,
120-1524-452.06-09,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,SUPPLIES,CONCESSION SUPPLIES,2014,$0,,,,,,,,,,,,,,
120-1524-452.06-30,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,SUPPLIES,OPERATING SUPPLIES,2014,$0,,,,,,,,,,,,,,
120-1524-452.06-31,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,SUPPLIES,MAINTENANCE SUPPLIES,2014,$0,,,,,,,,,,,,,,
120-1524-452.06-36,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,SUPPLIES,MEDICAL SUPPLIES,2014,$0,,,,,,,,,,,,,,
120-1524-452.06-37,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,SUPPLIES,SMALL TOOLS,2014,$0,,,,,,,,,,,,,,
120-1524-452.06-38,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,SUPPLIES,SAFETY EQUIPMENT,2014,$0,,,,,,,,,,,,,,
120-1524-452.06-66,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,SUPPLIES,VEHICLE FUEL/LUBRICANTS,2014,$0,,,,,,,,,,,,,,
120-1525-452.01-01,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SALARIES/WAGES,FULL TIME SALARIES,2014,"$198,130",,,,,,,,,,,,,,
120-1525-452.01-11,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SALARIES/WAGES,OVERTIME PAY,2014,"$5,000",,,,,,,,,,,,,,
120-1525-452.01-13,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SALARIES/WAGES,SCHEDULE DEVIATION PAY,2014,$0,,,,,,,,,,,,,,
120-1525-452.01-16,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SALARIES/WAGES,STAND-BY PAY,2014,$0,,,,,,,,,,,,,,
120-1525-452.01-17,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SALARIES/WAGES,SHIFT PAY,2014,$0,,,,,,,,,,,,,,
120-1525-452.01-23,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SALARIES/WAGES,DUTY DISABILITY,2014,$0,,,,,,,,,,,,,,
120-1525-452.01-24,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SALARIES/WAGES,ACCUMULATED SICK LEAVE,2014,$0,,,,,,,,,,,,,,
120-1525-452.01-27,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SALARIES/WAGES,OTHER ACCUM LEAVE PAY,2014,$0,,,,,,,,,,,,,,
120-1525-452.02-30,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,RETIREMENT-FICA/MEDICARE,2014,"$15,540",,,,,,,,,,,,,,
120-1525-452.02-35,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,RETIREMENT-IMRF,2014,"$24,395",,,,,,,,,,,,,,
120-1525-452.02-50,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,GROUP HEALTH INSURANCE,2014,"$45,515",,,,,,,,,,,,,,
120-1525-452.02-55,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,PROFESSIONAL DEVELOPMENT,2014,"$1,450",,,,,,,,,,,,,,
120-1525-452.03-01,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,PROFESSIONAL SERVICES,EASTER EGG HUNT,2014,"$1,500",,,,,,,,,,,,,,
120-1525-452.03-02,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,PROFESSIONAL SERVICES,STATE SOFTBALL TOURNAMENT,2014,"$5,800",,,,,,,,,,,,,,
120-1525-452.03-21,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,PROFESSIONAL SERVICES,SEASONAL EMPLOYMENT,2014,"$119,615",,,,,,,,,,,,,,
120-1525-452.03-22,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,PROFESSIONAL SERVICES,PROFESSIONAL/TECHNICAL,2014,"$56,810",,,,,,,,,,,,,,
120-1525-452.03-36,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,PROFESSIONAL SERVICES,MUNICIPAL IT CHARGES,2014,"$16,835",,,,,,,,,,,,,,
120-1525-452.03-61,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,PROFESSIONAL SERVICES,PAYMENT TO AGENCIES,2014,"$19,000",,,,,,,,,,,,,,
120-1525-452.04-15,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,PROPERTY SERVICES,RENTAL EXPENSE,2014,"$19,975",,,,,,,,,,,,,,
120-1525-452.04-16,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,PROPERTY SERVICES,UTILITY SERVICES,2014,"$38,370",,,,,,,,,,,,,,
120-1525-452.04-25,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,PROPERTY SERVICES,CONTRACTUAL REPAIRS,2014,"$12,000",,,,,,,,,,,,,,
120-1525-452.04-26,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,PROPERTY SERVICES,MAINT SERVICE CONTRACTS,2014,"$32,400",,,,,,,,,,,,,,
120-1525-452.04-28,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,PROPERTY SERVICES,VEHICLE LEASE,2014,"$22,715",,,,,,,,,,,,,,
120-1525-452.04-29,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,PROPERTY SERVICES,NON-MAINT FLEET REPAIRS,2014,$0,,,,,,,,,,,,,,
120-1525-452.04-40,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,PROPERTY SERVICES,TAXES,2014,"$13,125",,,,,,,,,,,,,,
120-1525-452.05-02,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,OTHER SERVICES,PRINTING/DUPLICATING,2014,"$12,600",,,,,,,,,,,,,,
120-1525-452.05-04,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,OTHER SERVICES,POSTAGE/SHIPPING,2014,"$9,600",,,,,,,,,,,,,,
120-1525-452.05-05,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,OTHER SERVICES,MEMBERSHIPS/PUBLICATIONS,2014,"$1,135",,,,,,,,,,,,,,
120-1525-452.05-06,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,OTHER SERVICES,ADVERTISING/PROMOTIONAL,2014,"$4,920",,,,,,,,,,,,,,
120-1525-452.05-10,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,OTHER SERVICES,TRAVEL ON CITY BUSINESS,2014,$0,,,,,,,,,,,,,,
120-1525-452.05-55,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,OTHER SERVICES,LIABILITY INSUR COVERAGE,2014,"$13,745",,,,,,,,,,,,,,
120-1525-452.06-01,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SUPPLIES,OFFICE SUPPLIES,2014,$750,,,,,,,,,,,,,,
120-1525-452.06-09,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SUPPLIES,CONCESSION SUPPLIES,2014,"$85,000",,,,,,,,,,,,,,
120-1525-452.06-30,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SUPPLIES,OPERATING SUPPLIES,2014,"$18,950",,,,,,,,,,,,,,
120-1525-452.06-31,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SUPPLIES,MAINTENANCE SUPPLIES,2014,"$12,700",,,,,,,,,,,,,,
120-1525-452.06-36,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SUPPLIES,MEDICAL SUPPLIES,2014,$100,,,,,,,,,,,,,,
120-1525-452.06-37,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SUPPLIES,SMALL TOOLS,2014,$900,,,,,,,,,,,,,,
120-1525-452.06-38,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SUPPLIES,SAFETY EQUIPMENT,2014,$0,,,,,,,,,,,,,,
120-1525-452.06-55,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SUPPLIES,TRIP SUPPLIES,2014,"$4,000",,,,,,,,,,,,,,
120-1525-452.06-56,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SUPPLIES,THE CELLAR SUPPLIES,2014,"$1,000",,,,,,,,,,,,,,
120-1525-452.06-65,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SUPPLIES,OTHER SUPPLIES/SERVICES,2014,"$2,000",,,,,,,,,,,,,,
120-1525-452.06-66,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SUPPLIES,VEHICLE FUEL/LUBRICANTS,2014,"$3,000",,,,,,,,,,,,,,
120-1525-452.08-50,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,CAPITAL IMPROVEMENTS,PARK CONTRACTS,2014,"$1,151,775",,,,,,,,,,,,,,
120-1526-452.01-01,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,SALARIES/WAGES,FULL TIME SALARIES,2014,"$50,790",,,,,,,,,,,,,,
120-1526-452.01-11,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,SALARIES/WAGES,OVERTIME PAY,2014,"$1,000",,,,,,,,,,,,,,
120-1526-452.02-30,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,RETIREMENT-FICA/MEDICARE,2014,"$3,960",,,,,,,,,,,,,,
120-1526-452.02-35,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,RETIREMENT-IMRF,2014,"$6,220",,,,,,,,,,,,,,
120-1526-452.02-50,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,GROUP HEALTH INSURANCE,2014,"$6,060",,,,,,,,,,,,,,
120-1526-452.02-55,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,PROFESSIONAL DEVELOPMENT,2014,$300,,,,,,,,,,,,,,
120-1526-452.03-21,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,PROFESSIONAL SERVICES,SEASONAL EMPLOYMENT,2014,"$99,700",,,,,,,,,,,,,,
120-1526-452.03-22,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,PROFESSIONAL SERVICES,PROFESSIONAL/TECHNICAL,2014,"$1,450",,,,,,,,,,,,,,
120-1526-452.03-36,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,PROFESSIONAL SERVICES,MUNICIPAL IT CHARGES,2014,"$2,465",,,,,,,,,,,,,,
120-1526-452.04-15,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,PROPERTY SERVICES,RENTAL EXPENSE,2014,$250,,,,,,,,,,,,,,
120-1526-452.04-16,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,PROPERTY SERVICES,UTILITY SERVICES,2014,"$28,110",,,,,,,,,,,,,,
120-1526-452.04-25,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,PROPERTY SERVICES,CONTRACTUAL REPAIRS,2014,"$7,900",,,,,,,,,,,,,,
120-1526-452.04-26,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,PROPERTY SERVICES,MAINT SERVICE CONTRACTS,2014,"$11,270",,,,,,,,,,,,,,
120-1526-452.04-40,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,PROPERTY SERVICES,TAXES,2014,"$1,750",,,,,,,,,,,,,,
120-1526-452.05-02,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,OTHER SERVICES,PRINTING/DUPLICATING,2014,$0,,,,,,,,,,,,,,
120-1526-452.05-06,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,OTHER SERVICES,ADVERTISING/PROMOTIONAL,2014,"$3,920",,,,,,,,,,,,,,
120-1526-452.05-55,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,OTHER SERVICES,LIABILITY INSUR COVERAGE,2014,"$3,850",,,,,,,,,,,,,,
120-1526-452.06-01,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,SUPPLIES,OFFICE SUPPLIES,2014,$250,,,,,,,,,,,,,,
120-1526-452.06-09,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,SUPPLIES,CONCESSION SUPPLIES,2014,"$10,000",,,,,,,,,,,,,,
120-1526-452.06-30,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,SUPPLIES,OPERATING SUPPLIES,2014,"$7,150",,,,,,,,,,,,,,
120-1526-452.06-31,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,SUPPLIES,MAINTENANCE SUPPLIES,2014,"$1,000",,,,,,,,,,,,,,
120-1526-452.06-33,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,SUPPLIES,CHEMICAL SUPPLIES,2014,"$13,000",,,,,,,,,,,,,,
120-1526-452.06-36,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,SUPPLIES,MEDICAL SUPPLIES,2014,$100,,,,,,,,,,,,,,
120-1529-452.01-11,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,ASA NATIONAL TOURNAMENT,RECREATION/CULTURE,PARK,SALARIES/WAGES,OVERTIME PAY,2014,"$3,000",,,,,,,,,,,,,,
120-1529-452.02-30,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,ASA NATIONAL TOURNAMENT,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,RETIREMENT-FICA/MEDICARE,2014,$220,,,,,,,,,,,,,,
120-1529-452.02-35,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,ASA NATIONAL TOURNAMENT,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,RETIREMENT-IMRF,2014,$360,,,,,,,,,,,,,,
120-1529-452.03-21,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,ASA NATIONAL TOURNAMENT,RECREATION/CULTURE,PARK,PROFESSIONAL SERVICES,SEASONAL EMPLOYMENT,2014,"$10,000",,,,,,,,,,,,,,
120-1529-452.03-22,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,ASA NATIONAL TOURNAMENT,RECREATION/CULTURE,PARK,PROFESSIONAL SERVICES,PROFESSIONAL/TECHNICAL,2014,"$28,000",,,,,,,,,,,,,,
120-1529-452.03-61,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,ASA NATIONAL TOURNAMENT,RECREATION/CULTURE,PARK,PROFESSIONAL SERVICES,PAYMENT TO AGENCIES,2014,"$18,000",,,,,,,,,,,,,,
120-1529-452.04-15,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,ASA NATIONAL TOURNAMENT,RECREATION/CULTURE,PARK,PROPERTY SERVICES,RENTAL EXPENSE,2014,"$25,000",,,,,,,,,,,,,,
120-1529-452.04-25,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,ASA NATIONAL TOURNAMENT,RECREATION/CULTURE,PARK,PROPERTY SERVICES,CONTRACTUAL REPAIRS,2014,"$5,000",,,,,,,,,,,,,,
120-1529-452.04-26,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,ASA NATIONAL TOURNAMENT,RECREATION/CULTURE,PARK,PROPERTY SERVICES,MAINT SERVICE CONTRACTS,2014,$0,,,,,,,,,,,,,,
120-1529-452.05-02,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,ASA NATIONAL TOURNAMENT,RECREATION/CULTURE,PARK,OTHER SERVICES,PRINTING/DUPLICATING,2014,"$3,000",,,,,,,,,,,,,,
120-1529-452.05-04,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,ASA NATIONAL TOURNAMENT,RECREATION/CULTURE,PARK,OTHER SERVICES,POSTAGE/SHIPPING,2014,$500,,,,,,,,,,,,,,
120-1529-452.05-06,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,ASA NATIONAL TOURNAMENT,RECREATION/CULTURE,PARK,OTHER SERVICES,ADVERTISING/PROMOTIONAL,2014,"$3,000",,,,,,,,,,,,,,
120-1529-452.05-10,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,ASA NATIONAL TOURNAMENT,RECREATION/CULTURE,PARK,OTHER SERVICES,TRAVEL ON CITY BUSINESS,2014,"$6,000",,,,,,,,,,,,,,
120-1529-452.05-55,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,ASA NATIONAL TOURNAMENT,RECREATION/CULTURE,PARK,OTHER SERVICES,LIABILITY INSUR COVERAGE,2014,$0,,,,,,,,,,,,,,
120-1529-452.06-09,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,ASA NATIONAL TOURNAMENT,RECREATION/CULTURE,PARK,SUPPLIES,CONCESSION SUPPLIES,2014,"$5,500",,,,,,,,,,,,,,
120-1529-452.06-30,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,ASA NATIONAL TOURNAMENT,RECREATION/CULTURE,PARK,SUPPLIES,OPERATING SUPPLIES,2014,"$15,000",,,,,,,,,,,,,,
120-1529-452.06-31,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,ASA NATIONAL TOURNAMENT,RECREATION/CULTURE,PARK,SUPPLIES,MAINTENANCE SUPPLIES,2014,"$1,000",,,,,,,,,,,,,,
120-1529-452.06-37,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,ASA NATIONAL TOURNAMENT,RECREATION/CULTURE,PARK,SUPPLIES,SMALL TOOLS,2014,$500,,,,,,,,,,,,,,
120-1529-452.06-65,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,ASA NATIONAL TOURNAMENT,RECREATION/CULTURE,PARK,SUPPLIES,OTHER SUPPLIES/SERVICES,2014,"$6,000",,,,,,,,,,,,,,
120-1541-452.01-01,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,SALARIES/WAGES,FULL TIME SALARIES,2014,"$147,295",,,,,,,,,,,,,,
120-1541-452.01-11,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,SALARIES/WAGES,OVERTIME PAY,2014,$0,,,,,,,,,,,,,,
120-1541-452.01-16,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,SALARIES/WAGES,STAND-BY PAY,2014,$0,,,,,,,,,,,,,,
120-1541-452.01-17,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,SALARIES/WAGES,SHIFT PAY,2014,$0,,,,,,,,,,,,,,
120-1541-452.01-23,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,SALARIES/WAGES,DUTY DISABILITY,2014,$0,,,,,,,,,,,,,,
120-1541-452.01-24,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,SALARIES/WAGES,ACCUMULATED SICK LEAVE,2014,$0,,,,,,,,,,,,,,
120-1541-452.01-25,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,SALARIES/WAGES,WORKERS COMPENSATION,2014,$0,,,,,,,,,,,,,,
120-1541-452.01-26,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,SALARIES/WAGES,DUTY DISABILITY,2014,$0,,,,,,,,,,,,,,
120-1541-452.02-30,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,RETIREMENT-FICA/MEDICARE,2014,"$11,265",,,,,,,,,,,,,,
120-1541-452.02-35,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,RETIREMENT-IMRF,2014,"$17,690",,,,,,,,,,,,,,
120-1541-452.02-50,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,GROUP HEALTH INSURANCE,2014,"$24,180",,,,,,,,,,,,,,
120-1541-452.02-55,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,PROFESSIONAL DEVELOPMENT,2014,$210,,,,,,,,,,,,,,
120-1541-452.03-21,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,PROFESSIONAL SERVICES,SEASONAL EMPLOYMENT,2014,"$73,520",,,,,,,,,,,,,,
120-1541-452.03-36,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,PROFESSIONAL SERVICES,MUNICIPAL IT CHARGES,2014,"$6,605",,,,,,,,,,,,,,
120-1541-452.04-16,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,PROPERTY SERVICES,UTILITY SERVICES,2014,"$12,050",,,,,,,,,,,,,,
120-1541-452.04-25,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,PROPERTY SERVICES,CONTRACTUAL REPAIRS,2014,"$19,060",,,,,,,,,,,,,,
120-1541-452.04-26,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,PROPERTY SERVICES,MAINT SERVICE CONTRACTS,2014,"$67,145",,,,,,,,,,,,,,
120-1541-452.04-28,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,PROPERTY SERVICES,VEHICLE LEASE,2014,"$39,580",,,,,,,,,,,,,,
