Hospital,Multi-Acute System,Cohort,Zip Code,IdOrgHosp,Full City and State,City/Town,State,County,Hospital Specific Discharges From a ZIP Code                     (A),Total Hospital Discharges                  (B),Total Discharges for ZIP Code                  (C),ZIP Code Level Discharges as a % of Total Hospital Discharges                        (=A/B),Hospital Specific Discharges From a ZIP Code as a % of Total ZIP Code Discharges                   (=A/C),Hospital Size by Discharges,Hospital Type,Hospital Size by Total Revenue
Emerson Hospital,Not Applicable,Community Hospital,01701,57,"Framingham, MA",Framingham,MA,Middlesex County,38,8287,3169,0.004585495,0.011991164,"1,000-9,999",Community Hospital,$250M-$500M
Emerson Hospital,Not Applicable,Community Hospital,01474,57,"West Townsend, MA",West Townsend,MA,Middlesex County,34,8287,209,0.004102812,0.162679426,"1,000-9,999",Community Hospital,$250M-$500M
Emerson Hospital,Not Applicable,Community Hospital,01803,57,"Burlington, MA",Burlington,MA,Middlesex County,33,8287,2884,0.003982141,0.011442441,"1,000-9,999",Community Hospital,$250M-$500M
Emerson Hospital,Not Applicable,Community Hospital,01826,57,"Dracut, MA",Dracut,MA,Middlesex County,32,8287,3523,0.00386147,0.009083168,"1,000-9,999",Community Hospital,$250M-$500M
Emerson Hospital,Not Applicable,Community Hospital,02420,57,"Lexington, MA",Lexington,MA,Middlesex County,29,8287,1072,0.003499457,0.027052239,"1,000-9,999",Community Hospital,$250M-$500M
Emerson Hospital,Not Applicable,Community Hospital,01475,57,"Winchendon, MA",Winchendon,MA,Worcester County,28,8287,1120,0.003378786,0.025,"1,000-9,999",Community Hospital,$250M-$500M
Emerson Hospital,Not Applicable,Community Hospital,01473,57,"Westminster, MA",Westminster,MA,Worcester County,27,8287,656,0.003258115,0.041158537,"1,000-9,999",Community Hospital,$250M-$500M
Emerson Hospital,Not Applicable,Community Hospital,01851,57,"Lowell, MA",Lowell,MA,Middlesex County,27,8287,3443,0.003258115,0.007841998,"1,000-9,999",Community Hospital,$250M-$500M
Emerson Hospital,Not Applicable,Community Hospital,01862,57,"North Billerica, MA",North Billerica,MA,Middlesex County,27,8287,1199,0.003258115,0.022518766,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02132,59,"West Roxbury, MA",West Roxbury,MA,Suffolk County,1023,9978,3315,0.102525556,0.308597285,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02131,59,"Roslindale, MA",Roslindale,MA,Suffolk County,900,9978,3431,0.090198437,0.262314194,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02136,59,"Hyde Park, MA",Hyde Park,MA,Suffolk County,752,9978,4067,0.075365805,0.184902877,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02130,59,"Jamaica Plain, MA",Jamaica Plain,MA,Suffolk County,599,9978,3948,0.060032071,0.151722391,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02026,59,"Dedham, MA",Dedham,MA,Norfolk County,523,9978,3323,0.052415314,0.157387902,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02124,59,"Dorchester Center, MA",Dorchester Center,MA,Suffolk County,256,9978,6492,0.025656444,0.039433148,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02126,59,"Mattapan, MA",Mattapan,MA,Suffolk County,191,9978,3221,0.019142113,0.059298355,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02062,59,"Norwood, MA",Norwood,MA,Norfolk County,190,9978,4371,0.019041892,0.043468314,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02119,59,"Roxbury, MA",Roxbury,MA,Suffolk County,186,9978,4157,0.01864101,0.044743806,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02121,59,"Dorchester, MA",Dorchester,MA,Suffolk County,163,9978,3478,0.016335939,0.046866015,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02467,59,"Chestnut Hill, MA",Chestnut Hill,MA,Norfolk County,110,9978,1300,0.011024253,0.084615385,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02081,59,"Walpole, MA",Walpole,MA,Norfolk County,86,9978,2334,0.008618962,0.036846615,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02118,59,"Boston, MA",Boston,MA,Suffolk County,86,9978,3868,0.008618962,0.022233713,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02035,59,"Foxboro, MA",Foxboro,MA,Norfolk County,80,9978,1858,0.008017639,0.043057051,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02445,59,"Brookline, MA",Brookline,MA,Norfolk County,80,9978,1482,0.008017639,0.053981107,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02021,59,"Canton, MA",Canton,MA,Norfolk County,79,9978,2854,0.007917418,0.027680448,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02090,59,"Westwood, MA",Westwood,MA,Norfolk County,79,9978,1636,0.007917418,0.048288509,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02072,59,"Stoughton, MA",Stoughton,MA,Norfolk County,74,9978,3994,0.007416316,0.018527792,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02048,59,"Mansfield, MA",Mansfield,MA,Bristol County,70,9978,1966,0.007015434,0.03560529,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02186,59,"Milton, MA",Milton,MA,Norfolk County,70,9978,2672,0.007015434,0.026197605,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02169,59,"Quincy, MA",Quincy,MA,Norfolk County,67,9978,7368,0.006714772,0.009093377,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02368,59,"Randolph, MA",Randolph,MA,Norfolk County,67,9978,4280,0.006714772,0.015654206,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02125,59,"Dorchester, MA",Dorchester,MA,Suffolk County,65,9978,3535,0.006514332,0.018387553,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02459,59,"Newton Center, MA",Newton Center,MA,Middlesex County,65,9978,1351,0.006514332,0.048112509,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02115,59,"Boston, MA",Boston,MA,Suffolk County,64,9978,1466,0.006414111,0.043656207,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02135,59,"Brighton, MA",Brighton,MA,Suffolk County,60,9978,3538,0.006013229,0.016958734,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02446,59,"Brookline, MA",Brookline,MA,Norfolk County,60,9978,2118,0.006013229,0.028328612,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02120,59,"Roxbury Crossing, MA",Roxbury Crossing,MA,Suffolk County,58,9978,1295,0.005812788,0.044787645,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02122,59,"Dorchester, MA",Dorchester,MA,Suffolk County,58,9978,2581,0.005812788,0.02247191,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02067,59,"Sharon, MA",Sharon,MA,Norfolk County,52,9978,1417,0.005211465,0.036697248,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02780,59,"Taunton, MA",Taunton,MA,Bristol County,51,9978,7200,0.005111245,0.007083333,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02127,59,"Boston, MA",Boston,MA,Suffolk County,50,9978,3350,0.005011024,0.014925373,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02703,59,"Attleboro, MA",Attleboro,MA,Bristol County,50,9978,4609,0.005011024,0.01084834,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02766,59,"Norton, MA",Norton,MA,Bristol County,44,9978,1890,0.004409701,0.023280423,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02492,59,"Needham, MA",Needham,MA,Norfolk County,40,9978,1823,0.004008819,0.021941854,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02148,59,"Malden, MA",Malden,MA,Middlesex County,39,9978,6340,0.003908599,0.00615142,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02114,59,"Boston, MA",Boston,MA,Suffolk County,37,9978,1296,0.003708158,0.028549383,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02360,59,"Plymouth, MA",Plymouth,MA,Plymouth County,37,9978,6947,0.003708158,0.00532604,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02760,59,"North Attleboro, MA",North Attleboro,MA,Bristol County,37,9978,2181,0.003708158,0.016964695,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02184,59,"Braintree, MA",Braintree,MA,Norfolk County,36,9978,4801,0.003607937,0.007498438,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02056,59,"Norfolk, MA",Norfolk,MA,Norfolk County,35,9978,934,0.003507717,0.037473233,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02139,59,"Cambridge, MA",Cambridge,MA,Middlesex County,35,9978,2416,0.003507717,0.014486755,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02128,59,"Boston, MA",Boston,MA,Suffolk County,34,9978,4007,0.003407496,0.008485151,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02038,59,"Franklin, MA",Franklin,MA,Norfolk County,33,9978,2727,0.003307276,0.01210121,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02043,59,"Hingham, MA",Hingham,MA,Plymouth County,33,9978,2711,0.003307276,0.01217263,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02093,59,"Wrentham, MA",Wrentham,MA,Norfolk County,33,9978,1413,0.003307276,0.023354565,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02301,59,"Brockton, MA",Brockton,MA,Plymouth County,33,9978,11364,0.003307276,0.002903907,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,01760,59,"Natick, MA",Natick,MA,Middlesex County,32,9978,3276,0.003207056,0.00976801,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02302,59,"Brockton, MA",Brockton,MA,Plymouth County,32,9978,4728,0.003207056,0.00676819,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02116,59,"Boston, MA",Boston,MA,Suffolk County,30,9978,1710,0.003006615,0.01754386,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02155,59,"Medford, MA",Medford,MA,Middlesex County,30,9978,5871,0.003006615,0.005109862,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02171,59,"Quincy, MA",Quincy,MA,Norfolk County,30,9978,1850,0.003006615,0.016216216,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02189,59,"East Weymouth, MA",East Weymouth,MA,Norfolk County,30,9978,2095,0.003006615,0.014319809,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02190,59,"South Weymouth, MA",South Weymouth,MA,Norfolk County,28,9978,2385,0.002806174,0.011740042,"1,000-9,999",Community Hospital,$250M-$500M
Brigham and Women's Faulkner Hospital,Partners HealthCare System,Community Hospital,02045,59,"Hull, MA",Hull,MA,Plymouth County,26,9978,1362,0.002605733,0.019089574,"1,000-9,999",Community Hospital,$250M-$500M
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01550,68,"Southbridge, MA",Southbridge,MA,Worcester County,1373,4626,2357,0.296800692,0.582520153,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01570,68,"Webster, MA",Webster,MA,Worcester County,759,4626,2441,0.164072633,0.31093814,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01571,68,"Dudley, MA",Dudley,MA,Worcester County,322,4626,996,0.069606572,0.323293173,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01507,68,"Charlton, MA",Charlton,MA,Worcester County,291,4626,1226,0.062905318,0.237357259,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01566,68,"Sturbridge, MA",Sturbridge,MA,Worcester County,261,4626,667,0.056420233,0.391304348,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01506,68,"Brookfield, MA",Brookfield,MA,Worcester County,134,4626,406,0.02896671,0.330049261,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01521,68,"Holland, MA",Holland,MA,Hampden County,121,4626,214,0.026156507,0.565420561,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01562,68,"Spencer, MA",Spencer,MA,Worcester County,121,4626,1295,0.026156507,0.093436293,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01518,68,"Fiskdale, MA",Fiskdale,MA,Worcester County,116,4626,304,0.025075659,0.381578947,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01540,68,"Oxford, MA",Oxford,MA,Worcester County,111,4626,1258,0.023994812,0.088235294,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01535,68,"North Brookfield, MA",North Brookfield,MA,Worcester County,102,4626,443,0.022049287,0.230248307,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01010,68,"Brimfield, MA",Brimfield,MA,Hampden County,94,4626,404,0.020319931,0.232673267,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01585,68,"West Brookfield, MA",West Brookfield,MA,Worcester County,78,4626,457,0.016861219,0.170678337,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01083,68,"Warren, MA",Warren,MA,Worcester County,56,4626,291,0.012105491,0.192439863,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01515,68,"East Brookfield, MA",East Brookfield,MA,Worcester County,44,4626,233,0.009511457,0.188841202,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01081,68,"Wales, MA",Wales,MA,Hampden County,39,4626,169,0.00843061,0.230769231,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01082,68,"Ware, MA",Ware,MA,Hampshire County,27,4626,1131,0.005836576,0.023872679,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Harrington Memorial Hospital,Not Applicable,"Community, High Public Payer",01501,68,"Auburn, MA",Auburn,MA,Worcester County,26,4626,1830,0.005620406,0.01420765,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01420,71,"Fitchburg, MA",Fitchburg,MA,Worcester County,2934,7718,5182,0.380150298,0.56619066,"1,000-9,999",#N/A,#N/A
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01453,71,"Leominster, MA",Leominster,MA,Worcester County,2495,7718,4601,0.323270277,0.542273419,"1,000-9,999",#N/A,#N/A
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01462,71,"Lunenburg, MA",Lunenburg,MA,Worcester County,372,7718,1125,0.048199015,0.330666667,"1,000-9,999",#N/A,#N/A
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01440,71,"Gardner, MA",Gardner,MA,Worcester County,208,7718,2612,0.026949987,0.079632466,"1,000-9,999",#N/A,#N/A
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01473,71,"Westminster, MA",Westminster,MA,Worcester County,198,7718,656,0.025654315,0.301829268,"1,000-9,999",#N/A,#N/A
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01510,71,"Clinton, MA",Clinton,MA,Worcester County,120,7718,1540,0.015548069,0.077922078,"1,000-9,999",#N/A,#N/A
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01430,71,"Ashburnham, MA",Ashburnham,MA,Worcester County,119,7718,550,0.015418502,0.216363636,"1,000-9,999",#N/A,#N/A
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01469,71,"Townsend, MA",Townsend,MA,Middlesex County,114,7718,646,0.014770666,0.176470588,"1,000-9,999",#N/A,#N/A
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01431,71,"Ashby, MA",Ashby,MA,Middlesex County,107,7718,284,0.013863695,0.376760563,"1,000-9,999",#N/A,#N/A
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01564,71,"Sterling, MA",Sterling,MA,Worcester County,93,7718,650,0.012049754,0.143076923,"1,000-9,999",#N/A,#N/A
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01475,71,"Winchendon, MA",Winchendon,MA,Worcester County,90,7718,1120,0.011661052,0.080357143,"1,000-9,999",#N/A,#N/A
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01523,71,"Lancaster, MA",Lancaster,MA,Worcester County,90,7718,595,0.011661052,0.151260504,"1,000-9,999",#N/A,#N/A
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01331,71,"Athol, MA",Athol,MA,Worcester County,76,7718,1928,0.009847111,0.039419087,"1,000-9,999",#N/A,#N/A
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01545,71,"Shrewsbury, MA",Shrewsbury,MA,Worcester County,73,7718,3204,0.009458409,0.02278402,"1,000-9,999",#N/A,#N/A
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01464,71,"Shirley, MA",Shirley,MA,Middlesex County,71,7718,641,0.009199274,0.110764431,"1,000-9,999",#N/A,#N/A
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01474,71,"West Townsend, MA",West Townsend,MA,Middlesex County,56,7718,209,0.007255766,0.267942584,"1,000-9,999",#N/A,#N/A
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01432,71,"Ayer, MA",Ayer,MA,Middlesex County,40,7718,1075,0.00518269,0.037209302,"1,000-9,999",#N/A,#N/A
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01468,71,"Templeton, MA",Templeton,MA,Worcester County,38,7718,395,0.004923555,0.096202532,"1,000-9,999",#N/A,#N/A
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01364,71,"Orange, MA",Orange,MA,Franklin County,29,7718,953,0.00375745,0.03043022,"1,000-9,999",#N/A,#N/A
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01436,71,"Baldwinville, MA",Baldwinville,MA,Worcester County,28,7718,395,0.003627883,0.070886076,"1,000-9,999",#N/A,#N/A
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01463,71,"Pepperell, MA",Pepperell,MA,Middlesex County,26,7718,956,0.003368748,0.027196653,"1,000-9,999",#N/A,#N/A
HealthAlliance Hospital,UMass Memorial Health Care,"Community, High Public Payer",01541,71,"Princeton, MA",Princeton,MA,Worcester County,26,7718,258,0.003368748,0.100775194,"1,000-9,999",#N/A,#N/A
Heywood Hospital,Heywood Healthcare,Community Hospital,01440,73,"Gardner, MA",Gardner,MA,Worcester County,1336,4567,2612,0.292533392,0.511485452,"1,000-9,999",#N/A,#N/A
Heywood Hospital,Heywood Healthcare,Community Hospital,01331,73,"Athol, MA",Athol,MA,Worcester County,602,4567,1928,0.131815196,0.312240664,"1,000-9,999",#N/A,#N/A
Heywood Hospital,Heywood Healthcare,Community Hospital,01475,73,"Winchendon, MA",Winchendon,MA,Worcester County,580,4567,1120,0.126998029,0.517857143,"1,000-9,999",#N/A,#N/A
Heywood Hospital,Heywood Healthcare,Community Hospital,01364,73,"Orange, MA",Orange,MA,Franklin County,247,4567,953,0.054083644,0.259181532,"1,000-9,999",#N/A,#N/A
Heywood Hospital,Heywood Healthcare,Community Hospital,01436,73,"Baldwinville, MA",Baldwinville,MA,Worcester County,227,4567,395,0.049704401,0.574683544,"1,000-9,999",#N/A,#N/A
Heywood Hospital,Heywood Healthcare,Community Hospital,01420,73,"Fitchburg, MA",Fitchburg,MA,Worcester County,193,4567,5182,0.042259689,0.037244307,"1,000-9,999",#N/A,#N/A
Heywood Hospital,Heywood Healthcare,Community Hospital,01468,73,"Templeton, MA",Templeton,MA,Worcester County,172,4567,395,0.037661485,0.435443038,"1,000-9,999",#N/A,#N/A
Heywood Hospital,Heywood Healthcare,Community Hospital,01430,73,"Ashburnham, MA",Ashburnham,MA,Worcester County,153,4567,550,0.033501204,0.278181818,"1,000-9,999",#N/A,#N/A
Heywood Hospital,Heywood Healthcare,Community Hospital,01473,73,"Westminster, MA",Westminster,MA,Worcester County,145,4567,656,0.031749507,0.221036585,"1,000-9,999",#N/A,#N/A
Heywood Hospital,Heywood Healthcare,Community Hospital,01452,73,"Hubbardston, MA",Hubbardston,MA,Worcester County,102,4567,382,0.022334136,0.267015707,"1,000-9,999",#N/A,#N/A
Heywood Hospital,Heywood Healthcare,Community Hospital,01453,73,"Leominster, MA",Leominster,MA,Worcester County,85,4567,4601,0.01861178,0.018474245,"1,000-9,999",#N/A,#N/A
Heywood Hospital,Heywood Healthcare,Community Hospital,01005,73,"Barre, MA",Barre,MA,Worcester County,32,4567,480,0.007006788,0.066666667,"1,000-9,999",#N/A,#N/A
Heywood Hospital,Heywood Healthcare,Community Hospital,01366,73,"Petersham, MA",Petersham,MA,Worcester County,32,4567,110,0.007006788,0.290909091,"1,000-9,999",#N/A,#N/A
Heywood Hospital,Heywood Healthcare,Community Hospital,01368,73,"Royalston, MA",Royalston,MA,Worcester County,32,4567,93,0.007006788,0.344086022,"1,000-9,999",#N/A,#N/A
Heywood Hospital,Heywood Healthcare,Community Hospital,01438,73,"East Templeton, MA",East Templeton,MA,Worcester County,28,4567,63,0.006130939,0.444444444,"1,000-9,999",#N/A,#N/A
Steward Holy Family Hospital,Steward Health Care System,"Community, High Public Payer",01844,75,"Methuen, MA",Methuen,MA,Essex County,2506,13440,6162,0.186458333,0.406686141,"10,000-19,999",Community High Public Payer Hospital,$250M-$500M
Steward Holy Family Hospital,Steward Health Care System,"Community, High Public Payer",01830,75,"Haverhill, MA",Haverhill,MA,Essex County,1986,13440,4242,0.147767857,0.468175389,"10,000-19,999",Community High Public Payer Hospital,$250M-$500M
Steward Holy Family Hospital,Steward Health Care System,"Community, High Public Payer",01841,75,"Lawrence, MA",Lawrence,MA,Essex County,1761,13440,6576,0.131026786,0.267791971,"10,000-19,999",Community High Public Payer Hospital,$250M-$500M
Steward Holy Family Hospital,Steward Health Care System,"Community, High Public Payer",01832,75,"Haverhill, MA",Haverhill,MA,Essex County,999,13440,2705,0.074330357,0.369316081,"10,000-19,999",Community High Public Payer Hospital,$250M-$500M
Steward Holy Family Hospital,Steward Health Care System,"Community, High Public Payer",01843,75,"Lawrence, MA",Lawrence,MA,Essex County,706,13440,3234,0.052529762,0.218305504,"10,000-19,999",Community High Public Payer Hospital,$250M-$500M
Steward Holy Family Hospital,Steward Health Care System,"Community, High Public Payer",01835,75,"Haverhill, MA",Haverhill,MA,Essex County,536,13440,1516,0.039880952,0.353562005,"10,000-19,999",Community High Public Payer Hospital,$250M-$500M
Steward Holy Family Hospital,Steward Health Care System,"Community, High Public Payer",01845,75,"North Andover, MA",North Andover,MA,Essex County,428,13440,3158,0.031845238,0.135528816,"10,000-19,999",Community High Public Payer Hospital,$250M-$500M
Steward Holy Family Hospital,Steward Health Care System,"Community, High Public Payer",01810,75,"Andover, MA",Andover,MA,Essex County,358,13440,2923,0.026636905,0.122476907,"10,000-19,999",Community High Public Payer Hospital,$250M-$500M
Steward Holy Family Hospital,Steward Health Care System,"Community, High Public Payer",01834,75,"Groveland, MA",Groveland,MA,Essex County,170,13440,726,0.01264881,0.23415978,"10,000-19,999",Community High Public Payer Hospital,$250M-$500M
Steward Holy Family Hospital,Steward Health Care System,"Community, High Public Payer",01840,75,"Lawrence, MA",Lawrence,MA,Essex County,96,13440,926,0.007142857,0.103671706,"10,000-19,999",Community High Public Payer Hospital,$250M-$500M
Steward Holy Family Hospital,Steward Health Care System,"Community, High Public Payer",02780,75,"Taunton, MA",Taunton,MA,Bristol County,91,13440,7200,0.006770833,0.012638889,"10,000-19,999",Community High Public Payer Hospital,$250M-$500M
